,0,1,2,3,4,5,6,7,8,9,10
0,1,20.14,-1.2,Paul Lewis,,,USA,30.10.77,1,Fairfax,06.05.2000
1,2,20.27,-0.2,Sidnei Telles,de,Souza,BRA,26.07.66,1,Americana,27.02.1993
