,0,1,2,3,4,5,6,7,8,9
0,1,19.86,+1.5,Justin,Gatlin,USA,10.02.82,1,Starkville,12.05.2002
1,2,19.98,+1.2,Justin,Gatlin,USA,10.02.82,1h1,Baton Rouge,29.05.2002
2,3,20.06,+2.0,Justin,Gatlin,USA,10.02.82,1r1,Knoxville,12.04.2002
3,4,20.18,-2.9,Justin,Gatlin,USA,10.02.82,1,Baton Rouge,01.06.2002
4,5,20.24,±0.0,Justin,Gatlin,USA,10.02.82,1h1,Starkville,10.05.2002
