,0,1,2,3,4,5
0,1.0,3:18.82,Russia,,Beijing,23.08.2008
1,,,Yuliya Gushchina,(50.62e),04.03.83,RUS
2,,,Lyudmila Litvinova,(49.18e),08.06.85,RUS
3,,,Tatyana Firova,(49.20),10.10.82,RUS
4,,,Anastasiya Kapachinskaya,(49.82),21.11.79,RUS
5,2.0,3:19.36,Russia,,Daegu,03.09.2011
6,,,Antonina Krivoshapka,(50.3),21.07.87,RUS
7,,,Natalya Antyukh,(50.0),26.06.81,RUS
8,,,Lyudmila Litvinova,(49.96),08.06.85,RUS
9,,,Anastasiya Kapachinskaya,(49.22),21.11.79,RUS
10,3.0,3:20.19,Russia,,Moskva,17.08.2013
11,,,Yuliya Gushchina,(51.0e),04.03.83,RUS
12,,,Tatyana Firova,(49.6e),10.10.82,RUS
13,,,Kseniya Ryzhova,(50.23),19.04.87,RUS
14,,,Antonina Krivoshapka,(49.40),21.07.87,RUS
15,4.0,3:20.23,Russia,,London,11.08.2012
16,,,Yuliya Gushchina,(50.9),04.03.83,RUS
17,,,Antonina Krivoshapka,(49.8),21.07.87,RUS
18,,,Tatyana Firova,(49.88),10.10.82,RUS
19,,,Natalya Antyukh,(49.67),26.06.81,RUS
20,5.0,3:20.91,United States 1,,München,08.08.2004
21,,,Dee Dee Trotter,(50.7),08.12.82,USA
22,,,Monique Hennagan,(49.0),26.05.76,USA
23,,,Jearl Miles-Clark,(50.9),04.09.66,USA
24,,,Sanya Richards-Ross,(50.4),26.02.85,USA
25,6.0,3:21.26,Russia,,Barcelona,01.08.2010
26,,,Anastasiya Kapachinskaya,(50.6e),21.11.79,RUS
27,,,Antonina Krivoshapka,(50.5e),21.07.87,RUS
28,,,Kseniya Aksyonova,(50.70),14.01.88,RUS
29,,,Tatyana Firova,(49.44),10.10.82,RUS
30,7.0,3:21.34,United States - Blue,r1,Philadelphia,28.04.2001
31,,,Monique Hennagan,(50.8),26.05.76,USA
32,,,Michelle Collins,(51.4),12.02.71,USA
33,,,LaTasha Colander,(49.7),23.08.76,USA
34,,,Marion Jones,(49.4),12.10.75,USA
35,8.0,3:21.64,Russia,,Berlin,23.08.2009
36,,,Anastasiya Kapachinskaya,(50.76),21.11.79,RUS
37,,,Tatyana Firova,(49.81),10.10.82,RUS
38,,,Lyudmila Litvinova,(50.01),08.06.85,RUS
39,,,Antonina Krivoshapka,(51.06),21.07.87,RUS
