,0,1,2,3,4,5
0,1.0,3:24.16,Jamaica,,Birmingham,04.03.2018
1,,,Tovea Jenkins,(51.94),27.10.92,JAM
2,,,Janieve Russell,(50.51),14.11.93,JAM
3,,,Anastasia Le-Roy,(51.34),11.09.87,JAM
4,,,Stephenie Ann McPherson,(50.37),25.11.88,JAM
5,2.0,3:28.39,Russia,,Sopot,09.03.2014
6,,,Olga Tovarnova,(53.32),11.04.85,RUS
7,,,Alena Mamina,(52.47),30.05.90,RUS
8,,,Yuliya Terekhova,(52.77),20.02.90,RUS
9,,,Kseniya Ryzhova,(49.83),19.04.87,RUS
10,3.0,3:28.90,Russia,,Toronto,13.03.1993
11,,,Marina Shmonina,(52.37),09.02.65,RUS
12,,,Tatyana Alekseyeva,(51.57),07.10.63,RUS
13,,,Yelena Andreyeva,(52.70),09.05.69,RUS
14,,,Yelena Ruzina,(52.25),23.07.64,RUS
