,0,1,2,3,4,5,6
0,1,66:06,Violah Jepchumba,KEN,23.10.90,Ústí nad Labem,16.09.2017
1,2,67:32,Josephine Jepkoech,KEN,21.04.89,Ra's Al Khaymah,13.02.2015
2,3,68:50,Yasuko Kimura,JPN,06.01.76,Tokyo,21.01.1996
3,4,68:59,Lyudmyla Kovalenko,UKR,26.06.89,Philadelphia,15.09.2013
4,5,69:20,Mariya Konovalova,RUS,14.08.74,Novosibirsk,14.09.2013
5,6,69:26,Florina Pana,ROU,20.01.73,Palermo,03.10.1999
6,7,69:56,Mariya Konovalova,RUS,14.08.74,Novosibirsk,08.09.2012
7,8,70:00+,Liliya Shobukhova,RUS,13.11.77,Chicago,10.10.2010
8,9,70:10,Izumi Maki,JPN,10.12.68,Sapporo,16.07.1995
9,10,70:15+,Aliaksandra Duliba,BLR,09.01.88,Boston,21.04.2014
10,11,70:18,Olesya Syreva,RUS,25.11.83,New York City,20.03.2011
11,12,70:21,Joyce Kiplimo,KEN,28.12.88,Yangzhou,20.04.2014
