,0,1,2,3,4,5,6,7,8
68,68,22.19,3.4,Dannette Young,USA,06.10.64,1,Minneapolis,15.07.1990
69,68,22.19,3.8,Joanna Atkins,USA,31.01.89,3,Sacramento,29.06.2014
70,68,22.19,2.6,Felicia Brown,USA,27.10.93,1h1,Tuscaloosa,12.05.2016
71,68,22.19,2.4,Dina Asher-Smith,GBR,04.12.95,3,Eugene,21.08.2021
72,68,22.19,3.1,Kendra Harrison,USA,18.09.92,3r2,Austin,26.03.2022
73,74,22.20,5.6,Marshevet Hooker,USA,25.09.84,3,Eugene,06.07.2008
74,75,22.21,2.5,Kathy Cook,GBR,03.05.60,2,Brisbane,07.10.1982
75,75,22.21,2.7,Dannette Young,USA,06.10.64,2,Lausanne,24.06.1988
76,75,22.21,5.6,Lauryn Williams,USA,11.09.83,4,Eugene,06.07.2008
77,75,22.21,3.5,Kamaria Brown,USA,21.12.92,2,Eugene,08.06.2013
78,75,22.21,3.7,Shalonda Solomon,USA,19.12.85,1r1,Montverde,10.06.2017
79,75,22.21,4.8,Jasmine Camacho-Quinn,PUR,21.08.96,1h4,Tampa,25.05.2018
80,81,22.22,2.1,Juliet Cuthbert,JAM,09.04.64,2,Austin,09.05.1992
81,81,22.22,2.7,LaTasha Jenkins,USA,19.12.77,1s1,Boise,04.06.1999
82,81,22.22,4.0,Muna Lee,USA,30.10.81,1,Baton Rouge,29.05.2004
83,81,22.22,2.3,Veronica Campbell-Brown,JAM,16.05.82,1r1,Clermont,14.06.2008
84,81,22.22,2.1,Jenna Prandini,USA,20.11.92,1rA,Austin,01.05.2021
85,86,22.23,3.4,Florence Griffith-Joyner,USA,21.12.59,1,Indianapolis,03.07.1982
86,86,22.23,4.5,Galina Malchugina,RUS,17.12.62,2,Villeneuve d'Ascq,06.07.1992
87,86,22.23,3.8,Kelly-Ann Baptiste,TTO,14.10.86,1r1,Clermont,02.06.2012
88,86,22.23,5.2,Jeneba Tarmoh,USA,27.09.89,1h4,Des Moines,22.06.2013
89,90,22.24,2.2,Evelyn Ashford,USA,15.04.57,1,San Juan,11.07.1979
90,90,22.24A,2.1,Merlene Ottey,JAM,10.05.60,1h2,San José,07.06.1984
91,90,22.24,3.4,Valerie Brisco,USA,06.07.60,1,Westwood,18.05.1985
92,90,22.24,2.2,Pam Marshall,USA,16.08.60,1,Eugene,21.06.1986
93,90,22.24,3.7,Pam Marshall,USA,16.08.60,2s1,Indianapolis,23.07.1988
94,95,22.25,2.8,Valerie Brisco,USA,06.07.60,1rA,Walnut,03.06.1984
95,95,22.25,3.4,Merlene Ottey,JAM,10.05.60,2,Westwood,18.05.1985
