,0,1,2,3,4,5,6
0,1.0,16:03.68,Brooks Beats,1,New York,City,26.01.2019
1,,,David Ribich,(4:08.2),27.12.95,,USA
2,,,Henry Wynne,(4:01.4),17.04.95,,USA
3,,,Brannon Kidder,(3:56.8),18.11.93,,USA
4,,,Izaic Yorks,(3:57.2),17.04.94,,USA
5,2.0,16:12.81,Hoka NJNY Track Club,1,New York,City,17.02.2017
6,,,Donald Cabral,(4:05.03),12.12.89,,USA
7,,,Ford Palmer,(3:59.89),06.10.90,,USA
8,,,Graham Crawford,(4:08.58),29.12.92,,USA
9,,,Kyle Merber,(3:59.31),19.11.90,,USA
10,3.0,16:16.05,Hoka NJNY Track Club,2,New York,City,26.01.2019
11,,,Jesse Garn,,04.06.93,,USA
12,,,Travis Mahoney,,25.07.90,,USA
13,,,Rob Napolitano,,03.11.94,,USA
14,,,Ryan Manahan,,14.07.94,,USA
15,4.0,16:16.67,New York Athletic Club,1,Hanover,,10.01.1993
16,,,Brad Horton,(4:07.2),29.07.65,,USA
17,,,Jeff Smith,(4:07.3),27.02.66,,USA
18,,,Brad Schlapak,(4:02.8),29.11.66,,USA
19,,,Bill Burke,(3:59.4),15.10.69,,USA
20,5.0,16:19.01,Villanova University,1,Hanover,,17.01.1976
21,,,George MacKay,(4:09.0),,,USA
22,,,Donald Paige,(4:01.6),13.10.56,,USA
23,,,Mark Belger,(4:05.3),06.09.56,,USA
24,,,Phil Kane,(4:03.1),05.03.55,,USA
25,6.0,16:20.4,Philadelphia Pioneer Club,2,Hanover,,17.01.1976
26,,,Julio Piazza,(4:09.0),49,,USA
27,,,Karl Thornton,(4:03.2),13.03.50,,USA
28,,,Charlie Maguire,(4:07.8),25.08.52,,USA
29,,,Greg Fredericks,(4:00.4),01.05.50,,USA
30,7.0,16:24.4,New York Athletic Club,3,Hanover,,17.01.1976
31,,,Pete Squires,(4:08.9),17.06.50,,USA
32,,,Ron Speirs,(4:02.2),18.05.52,,GBR
33,,,Antonio Colon,(4:02.2),24.03.53,,PUR
34,,,Ken Schappert,(4:09.9),03.02.52,,USA
35,8.0,16:24.96,Westchester Puma TC,1,Hanover,,11.01.1986
36,,,Todd Colas,(4:09.4),,,USA
37,,,Bill Krohn,(4:04.3),09.03.58,,USA
38,,,Charlie Bevier,(4:05.3),20.12.59,,USA
39,,,Mike Wyatt,(4:06.0),10.01.56,,USA
