,0,1,2,3,4,5,6,7,8,9
0,1,50:31,Ingrid Kristiansen,NOR,21.03.56,1,Amsterdam,-,Zaandam,11.10.1987
1,2,52:10,Carla Beurskens,NED,10.02.52,2,Amsterdam,-,Zaandam,11.10.1987
2,2,52:10,Hellen Kimaiyo,KEN,08.09.68,1,Amsterdam,-,Zaandam,20.09.1992
3,4,52:32,Grete Waitz,NOR,01.10.53,1,Bern,,,14.05.1988
4,5,52:40,Rosa Mota,POR,29.06.58,1,Den Haag,,,05.11.1989
5,6,52:43,Tegla Loroupe,KEN,09.05.73,2,Amsterdam,-,Zaandam,20.09.1992
6,7,52:52,Carla Beurskens,NED,10.02.52,1,Den Haag,,,06.11.1988
7,8,53:04,Carla Beurskens,NED,10.02.52,1,Amsterdam,-,Zaandam,12.10.1986
