,0,1,2,3,4,5,6,7,8,9
0,1,6.54,Aléxandros,Terzián,GRE,24.06.68,1,Sevilla,,04.03.1993
1,2,6.55,Lee McRae,,USA,23.01.66,2h1,Johnson,City,24.01.1997
