,index,url,event,mark,event type,sex
66,66,http://www.alltime-athletics.com/m_1000no.htm,1000 metres,non-legal,special,men
67,67,http://www.alltime-athletics.com/m_2miok.htm,2 Miles,legal,special,men
68,68,http://www.alltime-athletics.com/m1hourok.htm,One hour run,legal,special,men
69,69,http://www.alltime-athletics.com/m25kok.htm,25 000m track,legal,special,men
70,70,http://www.alltime-athletics.com/m1hourno.htm,One hour run,non-legal,special,men
71,71,http://www.alltime-athletics.com/m30kok.htm,30 000m track,legal,special,men
72,72,http://www.alltime-athletics.com/m10kroad.htm,10km road,legal,special,men
73,73,http://www.alltime-athletics.com/m15kroad.htm,15km road,legal,special,men
74,74,http://www.alltime-athletics.com/m10kroadno.htm,10km road,non-legal,special,men
75,75,http://www.alltime-athletics.com/m15kroadno.htm,15km road,non-legal,special,men
76,76,http://www.alltime-athletics.com/m10milesroad.htm,10 miles road,legal,special,men
77,77,http://www.alltime-athletics.com/m20kroad.htm,20km road,legal,special,men
78,78,http://www.alltime-athletics.com/m10milesroadno.htm,10 miles road,non-legal,special,men
79,79,http://www.alltime-athletics.com/m20kroadno.htm,20km road,non-legal,special,men
80,80,http://www.alltime-athletics.com/m30kroad.htm,30km road,legal,special,men
81,81,http://www.alltime-athletics.com/m100km.htm,100km road,legal,special,men
82,82,http://www.alltime-athletics.com/m30kroadno.htm,30km road,non-legal,special,men
83,83,http://www.alltime-athletics.com/m2000hok.htm,2000m steeplechase,legal,special,men
84,84,http://www.alltime-athletics.com/m2000hno.htm,2000m steeplechase,non-legal,special,men
85,85,http://www.alltime-athletics.com/m_60mhok.htm,60m hurdles,legal,special,men
86,86,http://www.alltime-athletics.com/m_200hok.htm,200m hurdles,legal,special,men
87,87,http://www.alltime-athletics.com/m_60mhno.htm,60m hurdles,non-legal,special,men
88,88,http://www.alltime-athletics.com/m_200hno.htm,200m hurdles,non-legal,special,men
89,89,http://www.alltime-athletics.com/m4x200ok.htm,4x200m relay,legal,special,men
90,90,http://www.alltime-athletics.com/m4x800ok.htm,4x800m relay,legal,special,men
91,91,http://www.alltime-athletics.com/m4x200no.htm,4x200m relay,non-legal,special,men
92,92,http://www.alltime-athletics.com/m4x800no.htm,4x800m relay,non-legal,special,men
93,93,http://www.alltime-athletics.com/m4x1500ok.htm,4x1500m relay,legal,special,men
94,94,http://www.alltime-athletics.com/m_4xmileok.htm,4xOne Mile relay,legal,special,men
95,95,http://www.alltime-athletics.com/m10kwok.htm,10000 meters track walk,legal,special,men
96,96,http://www.alltime-athletics.com/m10kwno.htm,10000 meters track walk,non-legal,special,men
97,0,http://www.alltime-athletics.com/w_100ok.htm,100 metres,legal,standard,women
98,1,http://www.alltime-athletics.com/w_200ok.htm,200 metres,legal,standard,women
99,2,http://www.alltime-athletics.com/w_100no.htm,100 metres,non-legal,standard,women
