,0,1,2,3,4,5,6,7,8,9
0,,1,,8:30.84,Karoline Bjerkeli Grøvdal,NOR,14.06.90,1.0,Oslo,04.06.2021
1,,2,,8:43.46,Laura Weightman,GBR,07.01.91,1.0,Stretford,14.05.2013
2,,3,,8:44.1,Donna Gould,AUS,10.06.66,,Eugene,13.07.1984
3,,4,,8:44.9,Elizabeth McColgan,GBR,24.05.64,1.0,Canberra,17.01.1990
4,mixed,race,-,indoor race,,,,,,
5,,1,,8:37.21,Laura Muir,GBR,09.05.93,1.0,Glasgow,07.01.2018
