,0,1,2,3,4,5,6
81,81,21.65,Tomás Stanek,CZE,13.06.91,Torun,15.02.2018
82,83,21.64,Remigius Machura,CZE,03.07.60,Praha,13.02.1985
83,83,21.64,Tomas Walsh,NZL,01.03.92,Portland,18.03.2016
84,85,21.62,Aleksandr Bagach,UKR,21.11.66,Brovary,21.02.1999
85,85,21.62,Payton Otterdahl,USA,02.04.96,Brookings,23.02.2019
86,85,21.62,Adrian Piperi,USA,20.01.99,College Station,06.02.2021
87,88,21.61,Ulf Timmermann,GER,01.11.62,Senftenberg,02.02.1985
88,88,21.61,Aleksandr Bagach,UKR,21.11.66,Brovary,21.02.1999
89,88,21.61,Reese Hoffa,USA,08.10.77,Moskva,10.03.2006
90,91,21.6,Ulf Timmermann,GER,01.11.62,Torino,22.02.1989
91,91,21.6,Christian Cantwell,USA,30.09.80,Ad-Dawhah,13.03.2010
92,91,21.6,Tomas Walsh,NZL,01.03.92,Portland,18.03.2016
93,91,21.6,Tomás Stanek,CZE,13.06.91,Torun,15.02.2018
94,91,21.6,Ryan Crouser,USA,18.12.92,New York City,09.02.2019
95,96,21.59,Ryan Whiting,USA,24.11.86,Istanbul,09.03.2012
96,96,21.59,Ryan Crouser,USA,18.12.92,New York City,08.02.2020
97,98,21.57,Brian Oldfield,USA,01.06.45,Salt Lake City,25.05.1973
98,98,21.57,Ulf Timmermann,GER,01.11.62,Senftenberg,02.02.1985
99,98,21.57,Werner Günthör,SUI,01.06.61,Magglingen,26.01.1986
100,98,21.57,Werner Günthör,SUI,01.06.61,Magglingen,24.02.1991
101,98,21.57,Ryan Whiting,USA,24.11.86,Zürich,28.08.2013
102,98,21.57,Tomás Stanek,CZE,13.06.91,Düsseldorf,06.02.2018
103,10,21.56,George Woods,USA,11.02.43,Inglewood,08.02.1974
104,10,21.55,Christian Cantwell,USA,30.09.80,Columbia,21.02.2004
105,10,21.55,Ryan Crouser,USA,18.12.92,Beograd,19.03.2022
106,10,21.54,Ulf Timmermann,GER,01.11.62,Senftenberg,16.02.1985
107,10,21.54,Ulf Timmermann,GER,01.11.62,Princeton,27.02.1987
108,10,21.54,Ulf Timmermann,GER,01.11.62,Senftenberg,11.02.1989
109,10,21.54,Reese Hoffa,USA,08.10.77,Boston,25.02.2006
110,11,21.53,Ryan Whiting,USA,24.11.86,Albuquerque,03.03.2013
111,11,21.52,Ulf Timmermann,GER,01.11.62,Senftenberg,11.02.1989
112,11,21.51,Christian Cantwell,USA,30.09.80,Albuquerque,26.02.2012
113,11,21.51,Tomás Stanek,CZE,13.06.91,Madrid,08.02.2018
114,11,21.51,Ryan Crouser,USA,18.12.92,New York City,09.02.2019
115,11,21.51,Filip Mihaljevic,CRO,31.07.94,Beograd,19.03.2022
116,11,21.5,Remigius Machura,CZE,03.07.60,Jablonec nad Ni,10.02.1985
117,11,21.5,Ulf Timmermann,GER,01.11.62,Senftenberg,11.02.1989
118,11,21.5,Reese Hoffa,USA,08.10.77,New York City,02.02.2007
119,11,21.5,Michal Haratyk,POL,10.04.92,Lodz,12.02.2021
120,11,21.5,Filip Mihaljevic,CRO,31.07.94,Torun,22.02.2022
121,12,21.49,Ulf Timmermann,GER,01.11.62,Den Haag,18.02.1989
122,12,21.49,Ulf Timmermann,GER,01.11.62,Torino,22.02.1989
123,12,21.49,Werner Günthör,SUI,01.06.61,Berlin,13.02.1991
124,12,21.49,Adam Nelson,USA,07.07.75,New York City,01.02.2008
125,12,21.49,Tomas Walsh,NZL,01.03.92,Portland,18.03.2016
126,12,21.49,Filip Mihaljevic,CRO,31.07.94,Madrid,02.03.2022
127,12,21.48,George Woods,USA,11.02.43,Inglewood,08.02.1974
128,12,21.48,Werner Günthör,SUI,01.06.61,Magglingen,26.01.1986
129,12,21.48,Ulf Timmermann,GER,01.11.62,Torino,22.02.1989
130,12,21.48,Ryan Crouser,USA,18.12.92,New York City,23.02.2019
131,13,21.47,Werner Günthör,SUI,01.06.61,Magglingen,26.01.1986
132,13,21.47,Ulf Timmermann,GER,01.11.62,Senftenberg,08.02.1987
133,13,21.47,Werner Günthör,SUI,01.06.61,Indianapolis,07.03.1987
134,13,21.47,Randy Barnes,USA,16.06.66,Dallas,06.02.1988
135,13,21.47,John Godina,USA,31.05.72,Boston,26.02.2005
136,13,21.47,Reese Hoffa,USA,08.10.77,New York City,03.02.2006
137,13,21.47,Ryan Whiting,USA,24.11.86,Sopot,07.03.2014
138,13,21.47,Tomás Stanek,CZE,13.06.91,Torun,08.02.2020
139,14,21.46,Brian Oldfield,USA,01.06.45,Salt Lake City,25.05.1973
140,14,21.46,Terry Albritton,USA,14.01.55,Inglewood,04.02.1977
141,14,21.46,Kevin Toth,USA,29.12.67,Kent,11.01.2003
142,14,21.46,Christian Cantwell,USA,30.09.80,Warrensburg,22.02.2008
143,14,21.46,Adam Nelson,USA,07.07.75,Blacksburg,08.03.2008
144,14,21.45,Brian Oldfield,USA,01.06.45,Salt Lake City,25.05.1973
145,14,21.45,Remigius Machura,CZE,03.07.60,Piræus,03.03.1985
146,14,21.45,Ulf Timmermann,GER,01.11.62,Princeton,27.02.1987
147,14,21.45,Christian Cantwell,USA,30.09.80,New York City,29.01.2010
148,14,21.45,Ryan Whiting,USA,24.11.86,Lódz,17.02.2015
149,14,21.45,Filip Mihaljevic,CRO,31.07.94,Torun,22.02.2022
150,14,21.45,Nick Ponzio,ITA,04.01.95,Beograd,07.03.2022
151,14,21.45,Tomás Stanek,CZE,13.06.91,Istanbul,03.03.2023
152,15,21.44,Brian Oldfield,USA,01.06.45,Salt Lake City,25.05.1973
153,15,21.44,Ulf Timmermann,GER,01.11.62,Princeton,27.02.1987
154,15,21.44,Christian Cantwell,USA,30.09.80,New York City,29.01.2010
155,15,21.44,Ryan Whiting,USA,24.11.86,Albuquerque,26.02.2012
156,15,21.43,Randy Barnes,USA,16.06.66,Los Angeles,20.01.1989
157,15,21.43,Werner Günthör,SUI,01.06.61,Berlin,13.02.1991
158,15,21.43,Christian Cantwell,USA,30.09.80,Leipzig,13.02.2010
159,15,21.43,Christian Cantwell,USA,30.09.80,Albuquerque,26.02.2012
160,15,21.43,Ryan Whiting,USA,24.11.86,University Park,02.02.2013
161,15,21.43,Michal Haratyk,POL,10.04.92,Glasgow,01.03.2019
162,15,21.43,Filip Mihaljevic,CRO,31.07.94,Düsseldorf,04.02.2020
163,16,21.42,Randy Barnes,USA,16.06.66,Los Angeles,20.01.1989
164,16,21.42,Michal Haratyk,POL,10.04.92,Torun,08.02.2020
165,16,21.42,Filip Mihaljevic,CRO,31.07.94,Istanbul,03.03.2023
166,16,21.41,Ulf Timmermann,GER,01.11.62,Senftenberg,16.02.1985
167,16,21.41,Reese Hoffa,USA,08.10.77,Moskva,10.03.2006
168,16,21.41,Ryan Crouser,USA,18.12.92,New York City,23.02.2019
169,16,21.41,Filip Mihaljevic,CRO,31.07.94,Madrid,21.02.2020
170,16,21.41,Josh Awotunde,USA,12.06.95,Beograd,19.03.2022
171,17,21.4,Dan Taylor,USA,12.05.82,Boston,27.01.2007
172,17,21.4,Mikulas Konopka,SVK,23.01.79,Birmingham,02.03.2007
