,0,1,2,3,4,5,6,7,8,9
0,1,22.19A,3.1,Angela Issajenko,CAN,28.09.58,,Colorado,Springs,21.07.1982
1,2,22.26,3.3,Marion Jones,USA,12.10.75,r1,Eugene,,27.05.2001
2,3,22.43,2.6,Merlene Ottey,JAM,10.05.60,,Luzern,,05.07.1999
3,4,22.44A,3.1,Angela Issajenko,CAN,28.09.58,,Provo,,26.05.1984
4,5,22.46,2.1,Angela Issajenko,CAN,28.09.58,,Regina,,02.08.1981
5,6,22.48,2.5,Angela Issajenko,CAN,28.09.58,,Brisbane,,07.10.1982
