,0,1,2,3,4,5,6,7,8,9,10
0,1,19.97,0.3,Ato Boldon,,,TTO,30.12.73,1,Lausanne,05.07.2000
1,2,20.06,0.5,Brian Lewis,,,USA,05.12.74,1,Kourou,21.05.2000
2,3,20.1,0.3,Obadele Thompson,,,BAR,30.03.76,3,Lausanne,05.07.2000
3,4,20.25,0.3,Claudinei Quirino,da,Silva,BRA,19.11.70,4,Lausanne,05.07.2000
