,0,1,2,3,4,5,6,7,8,9
0,1,22.1,2.0,Andrew Turner,,GBR,19.09.80,1,Manchester,15.05.2011
1,1,22.1,1.8,Louis van Zyl,,RSA,20.07.85,1,Manchester,09.05.2015
2,3,22.12,-0.6,Alison Brendom dos,Santos,BRA,03.06.00,1,Boston,23.05.2021
3,4,22.18,-0.6,Amere Lattin,,USA,17.02.97,2,Boston,23.05.2021
4,5,22.26,2.0,Bershawn Jackson,,USA,08.05.83,2,Manchester,15.05.2011
5,6,22.48,,Johnny Dutch,,USA,20.01.89,1,Manchester,26.05.2017
6,7,22.54,0.1,Andrew Turner,,GBR,19.09.80,1,Manchester,20.05.2012
7,8,22.55,0.3,Eric Futch,,USA,25.04.93,1,Boston,20.05.2018
8,9,22.58,1.4,Andrew Turner,,GBR,19.09.80,1,Manchester,17.05.2014
9,9,22.58,-0.6,Craig Allen,,USA,14.02.95,3,Boston,23.05.2021
10,11,22.61,1.4,Felix Sánchez,,DOM,30.08.77,2,Manchester,17.05.2014
11,12,22.62,0.3,Byron Robinson,,USA,16.02.95,2,Boston,20.05.2018
12,13,22.63,-0.3,Louis van Zyl,,RSA,20.07.85,1,Manchester,25.05.2013
13,14,22.64,-0.3,Jack Green,,GBR,06.10.91,2,Manchester,25.05.2013
14,15,22.66,,Sebastian Rodger,,GBR,29.06.91,1,Manchester,20.05.2016
15,16,22.68,-0.3,Felix Sánchez,,DOM,30.08.77,3,Manchester,25.05.2013
16,17,22.75,0.1,Felix Sánchez,,DOM,30.08.77,2,Manchester,20.05.2012
17,18,22.77,,Fanie van Zijl,,RSA,07.07.48,1,Bruxelles,04.09.2016
18,19,22.84,2.0,Angelo Taylor,,USA,29.12.78,3,Manchester,15.05.2011
19,19,22.84,,Jacob Paul,,GBR,06.02.95,2,Manchester,20.05.2016
20,21,22.85,1.8,Ray Stewart,,USA,05.04.89,2,Manchester,09.05.2015
21,22,22.89,,Sebastian Rodger,,GBR,29.06.91,2,Manchester,26.05.2017
22,23,22.95,1.4,Sebastian Rodger,,GBR,29.06.91,3,Manchester,17.05.2014
23,24,22.97,,Jack Green,,GBR,06.10.91,3,Manchester,26.05.2017
24,25,23.0,0.1,Jehue Gordon,,TTO,15.12.91,3,Manchester,20.05.2012
25,26,23.02,1.4,Leford Green,,JAM,14.11.86,4,Manchester,17.05.2014
26,27,23.05,1.8,Felix Sánchez,,DOM,30.08.77,3,Manchester,09.05.2015
27,28,23.08,1.8,Sebastian Rodger,,GBR,29.06.91,4,Manchester,09.05.2015
