,0,1,2,3,4,5,6,7,8,9
0,1,13.2,0.7,Dayron Capetillo,CUB,11.09.87,1h1,La,Habana,19.03.2010
1,1,13.2,1.5,Ignacio Morales,CUB,28.01.87,1,La,Habana,19.03.2010
