,0,1,2,3,4,5
108,,,Henning Gericke,(3:43.x),23.06.60,RSA
109,,,Johan Fourie,(3:42.x),02.12.59,RSA
110,23.0,14:52.13,Arkansas Track Club,1,Philadelp,29.04.2000
111,,,Matthew Kerr,(3:46.6),03.05.76,CAN
112,,,Niall Bruton,(3:43.3),07.10.71,IRL
113,,,Philip Price,(3:39.0),21.08.74,USA
114,,,Seneca Lassiter,(3:43.2),12.03.77,USA
115,24.0,14:52.37,Reebok Enclave,2,Philadelp,29.04.2000
116,,,Scott Anderson,(3:45.5),30.01.74,USA
117,,,John Honerkamp,(3:44.1),11.09.75,USA
118,,,Michael Ryan,(3:42.0),16.07.76,USA
119,,,Matthew Holtaus,(3:40.8),02.11.71,USA
120,25.0,14:52.52,France,1,Nice,18.09.2011
121,,,Florian Carvalho,,09.03.89,FRA
122,,,Yoann Kowal,,28.05.87,FRA
123,,,Mehdi Baala,,17.08.78,FRA
124,,,Mohamed-Khaled Belabbas,,04.07.81,FRA
125,26.0,14:52.81,Villanova University,1,Philadelp,28.04.1984
126,,,Sean O'Neill,(3:47.6),17.07.61,IRL
127,,,Brian O'Keefe,(3:42.7),12.01.62,IRL
128,,,John Keyworth,(3:43.9),29.05.63,GBR
129,,,Marcus O'Sullivan,(3:38.7),22.12.61,IRL
130,26.0,14:52.81,University of Arkansas,1,Philadelp,30.04.1994
131,,,Jason Bunston,(3:47.6),12.05.72,CAN
132,,,Brian Baker,(3:41.8),08.06.70,USA
133,,,Niall Bruton,(3:43.2),07.10.71,IRL
134,,,Graham Hood,(3:40.2),02.04.72,CAN
135,28.0,14:53.34,Georgetown University,1,Philadelp,27.04.1991
136,,,Rich Kenah,(3:48.4),04.08.70,USA
137,,,Peter Sherry,(3:41.7),22.08.68,USA
138,,,Steve Holman,(3:40.0),02.03.70,USA
139,,,John Trautmann,(3:43.2),29.06.68,USA
140,29.0,14:53.43,University of Arkansas,2,Philadelp,28.04.1984
141,,,David Swain,(3:47.1),21.12.61,GBR
142,,,Tom Moloney,(3:43.0),11.03.60,IRL
143,,,Gary Taylor,(3:43.1),01.06.63,GBR
144,,,Paul Donovan,(3:40.3),11.07.63,IRL
145,30.0,14:53.8,France,1,Colombes,02.10.1971
