,0,1,2,3,4,5
0,1.0,36.84,Jamaica,1,London,11.08.2012
1,,,Nesta Carter,(10.28),11.10.85,JAM
2,,,Michael Frater,(9.07),06.10.82,JAM
3,,,Yohan Blake,(9.09),26.12.89,JAM
4,,,Usain Bolt,(8.70),21.08.86,JAM
5,2.0,37.04,Jamaica,1,Daegu,04.09.2011
6,,,Nesta Carter,(10.42),11.10.85,JAM
7,,,Michael Frater,(8.96),06.10.82,JAM
8,,,Yohan Blake,(9.25),26.12.89,JAM
9,,,Usain Bolt,(8.80),21.08.86,JAM
10,3.0,37.1,United States,1,Ad-Dawhah,05.10.2019
11,,,Christian Coleman,,06.03.96,USA
12,,,Justin Gatlin,,10.02.82,USA
13,,,Mike Rodgers,,24.04.85,USA
14,,,Noah Lyles,(8.77),18.07.97,USA
15,4.0,37.27,Jamaica,1,Rio de Janeiro,19.08.2016
16,,,Asafa Powell,,23.11.82,JAM
17,,,Yohan Blake,,26.12.89,JAM
18,,,Nickel Ashmeade,,07.04.90,JAM
19,,,Usain Bolt,,21.08.86,JAM
20,5.0,37.31,Jamaica,1,Berlin,22.08.2009
21,,,Steve Mullings,(10.57),29.11.82,JAM
22,,,Michael Frater,(9.20),06.10.82,JAM
23,,,Usain Bolt,(9.12),21.08.86,JAM
24,,,Asafa Powell,(8.73),23.11.82,JAM
25,6.0,37.36,Jamaica,1,Moskva,18.08.2013
26,,,Nesta Carter,,11.10.85,JAM
27,,,Kemar Bailey-Cole,,10.01.92,JAM
28,,,Nickel Ashmeade,,07.04.90,JAM
29,,,Usain Bolt,(8.69),21.08.86,JAM
30,6.0,37.36,Jamaica,1,Beijing,29.08.2015
31,,,Nesta Carter,,11.10.85,JAM
32,,,Asafa Powell,,23.11.82,JAM
33,,,Nickel Ashmeade,,07.04.90,JAM
34,,,Usain Bolt,,21.08.86,JAM
35,6.0,37.36,Great Britain & N.I.,2,Ad-Dawhah,05.10.2019
36,,,Adam Gemili,,06.10.93,GBR
37,,,Zharnel Hughes,,13.07.95,GBR
38,,,Richard Kilty,,02.09.89,GBR
39,,,Nethaneel Mitchell-Blake,(8.91),02.04.94,GBR
40,9.0,37.38,United States,1rA,Nassau,02.05.2015
41,,,Mike Rodgers,,24.04.85,USA
42,,,Justin Gatlin,,10.02.82,USA
43,,,Tyson Gay,,09.08.82,USA
44,,,Ryan Bailey,(8.83),13.04.89,USA
45,10.0,37.39,Jamaica,1h1,London,10.08.2012
46,,,Nesta Carter,,11.10.85,JAM
