,0,1,2,3,4,5
0,1.0,37.9,Hudson Smith International,1,Los Angeles,01.04.2000
1,,,Jon Drummond,,09.09.68,USA
2,,,Ato Boldon,,30.12.73,TTO
3,,,Bryan Howard,,07.10.76,USA
4,,,Maurice Greene,,23.07.74,USA
5,2.0,38.2A,Turkey,1,Erzurum,10.06.2017
6,,,Yigitcan Hekimoglu,,27.04.92,TUR
7,,,Jak Ali Harvey,,04.05.89,TUR
8,,,Emre Zafer Barnes,,07.11.88,TUR
9,,,Ramil Guliyev,,29.05.90,TUR
10,3.0,38.3A,Ukraine,2,Erzurum,10.06.2017
11,,,Roman Kravtsov,,18.05.95,UKR
12,,,Sergii Smelyk,,19.04.87,UKR
13,,,Volodymyr Suprun,,24.01.94,UKR
14,,,Emil Ibragimov,,01.02.90,UKR
15,4.0,38.4yA,University of Southern California,1,Provo,17.06.1967
16,,,Earl McCullouch,,12.01.46,USA
17,,,Fred Kuller,,28.06.45,USA
18,,,O.J. Simpson,,09.07.47,USA
19,,,Lennox Miller,,08.10.46,JAM
20,5.0,38.5,United States,1,Sacramento,21.07.1984
21,,,Sam Graddy,,10.02.64,USA
22,,,Ron Brown,,31.03.61,USA
23,,,Calvin Smith,,08.01.61,USA
24,,,Harvey Glance,,28.03.57,USA
25,6.0,38.6y,San Jose State College,1h2,Knoxville,20.06.1969
26,,,Sam Davis,,18.04.47,USA
27,,,Kirk Clayton,,04.02.47,USA
28,,,Ronnie Ray Smith,,28.03.49,USA
29,,,John Carlos,,05.06.45,USA
30,6.0,38.6A,University of Southern California,1,El Paso,15.04.1972
31,,,Lance Babb,,08.11.50,USA
32,,,Leon Brown,,07.04.50,USA
33,,,Donald Quarrie,,25.02.51,JAM
34,,,Willie Deckard,,03.01.51,USA
35,8.0,38.7y,Philadelphia Pioneer Club,1,Durham,12.05.1973
36,,,Ivory Crockett,,24.08.49,USA
37,,,Charles Joseph,,25.03.52,TTO
38,,,Fred Newhouse,,08.11.48,USA
39,,,Hasely Crawford,,16.08.50,TTO
40,8.0,38.7,Soviet Union,1,Kyiv,04.07.1975
41,,,Aleksandr Kornelyuk,,28.06.50,RUS
42,,,Nikolay Kolesnikov,,08.09.53,RUS
43,,,Aleksandr Aksinin,,04.11.54,RUS
44,,,Valeriy Borzov,,20.10.49,UKR
45,8.0,38.7A,Republic of Côte d'Ivoire,1,Antananarivo,03.09.1997
46,,,Eric Pacôme N'Dri,,24.03.78,CIV
47,,,Jean-Olivier Zirignon,,27.04.71,CIV
48,,,Ahmed Douhou,,14.12.76,CIV
49,,,Ibrahim Meité,,18.11.76,CIV
