,0,1,2,3,4,5,6,7,8,9
0,1,8.46,,Yuriy Naumkin,,RUS,05.11.68,1,Iglesias,06.09.1996
1,2,8.36,,Cheikh Tidiane,Touré,SEN,25.01.70,1,Iglesias,07.09.1997
2,3,8.28,,Gregor Cankar,,SLO,25.01.75,1,Iglesias,10.09.1995
3,4,8.22,1.8,Rául Fernández,,ESP,08.03.78,1,Córdoba,14.04.2002
4,5,8.21,,Paolo Camossi,,ITA,06.01.74,1,Iglesias,04.09.1999
