,0,1,2,3,4,5
122,,,Germaine Brown,,04.07.91,JAM
123,,,Jason Livermore,,25.04.88,JAM
124,,,Warren Weir,(19.4),31.10.89,JAM
125,26.0,1:20.17,Canada,1r1,Gainesville,30.03.2019
126,,,Gavin Smellie,,26.06.86,CAN
127,,,Aaron Brown,,27.05.92,CAN
128,,,Brandon Rock,,08.07.72,USA
129,,,Andre De Grasse,,10.11.94,CAN
130,27.0,1:20.19,Jamaica,1h1,Nassau,03.05.2015
131,,,Rasheed Dwyer,,29.01.89,JAM
132,,,Jason Livermore,,25.04.88,JAM
133,,,Germaine Brown,,04.07.91,JAM
134,,,Warren Weir,,31.10.89,JAM
135,28.0,1:20.20,Texas Christian University,1,Philadelphia,26.04.1986
136,,,Roscoe Tatum,,13.02.66,USA
137,,,Andrew Smith,,29.01.64,JAM
138,,,Leroy Reid,,03.08.63,JAM
139,,,Greg Sholars,,08.02.66,USA
140,28.0,1:20.20,University of Tennessee,1rB,Philadelphia,27.04.2002
141,,,Gary Kikaya,,04.02.78,COD
142,,,Sean Lambert,,16.08.82,GRN
143,,,Leonard Scott,,19.01.80,USA
144,,,Justin Gatlin,,10.02.82,USA
145,30.0,1:20.22,University of Georgia,1r2,Austin,01.04.2023
146,,,Keshaun Black,,01.01.01,USA
147,,,Matthew Boling,,20.06.00,USA
148,,,Elija Godwin,,01.07.99,USA
149,,,Christopher Morales Willia,,05.08.04,CAN
150,31.0,1:20.23,Tobias Striders,1,Tempe,27.05.1978
151,,,Guy Abrahams,(20.5),07.03.53,PAN
152,,,Michael Simmons,(20.7),21.12.56,USA
153,,,Donald Quarrie,(19.7),25.02.51,JAM
154,,,James Gilkes,(19.3),21.09.52,GUY
155,32.0,1:20.26,University of Southern Cal,2,Tempe,27.05.1978
156,,,Joel Andrews,(20.8),17.10.56,USA
157,,,James Sanford,(20.1),27.12.57,USA
158,,,Billy Mullins,(19.6),01.02.58,USA
159,,,Clancy Edwards,(19.8),09.08.55,USA
160,33.0,1:20.29,Texas A&M University,2,Philadelphia,26.04.2014
161,,,Carlyle Roudette,,06.09.91,TTO
162,,,Prezel Hardy,,01.06.92,USA
163,,,Shavez Hart,,09.06.92,BAH
164,,,Deon Lendore,,28.10.92,TTO
165,34.0,1:20.3y,University of Southern Cal,1,Fresno,13.05.1972
166,,,Edesel Garrison,(20.9y,17.08.50,USA
167,,,Larry Brown,(19.8y,23.03.51,USA
168,,,Willie Deckard,(20.4y,03.01.51,USA
169,,,Donald Quarrie,(19.6y,25.02.51,JAM
170,35.0,1:20.32,Texas A&M University,1,Philadelphia,25.04.2009
171,,,Bryan Miller,,31.05.89,USA
172,,,Gerald Phiri,,06.10.88,ZAM
173,,,Chris Dykes,,15.08.87,USA
174,,,Justin Oliver,,07.11.87,USA
175,36.0,1:20.33,Santa Monica Track Club,1,Saint-Denis,23.06.1989
176,,,Joe DeLoach,,05.06.67,USA
177,,,Leroy Burrell,,21.02.67,USA
178,,,Floyd Heard,,24.03.66,USA
179,,,Carl Lewis,,01.07.61,USA
180,37.0,1:20.37,Arizona State University,1,Walnut,26.04.1981
181,,,Greg Moore,,08.11.59,USA
182,,,Dwayne Evans,,13.10.58,USA
183,,,Willie Jones,,06.01.60,USA
184,,,LaMonte King,,18.12.59,USA
185,38.0,1:20.38,University of Florida,1,Gainesville,03.04.2010
186,,,Tony McQuay,,16.04.90,USA
187,,,Jeremy Hall,,27.01.88,USA
188,,,Terrell Wilks,,30.12.89,USA
189,,,Calvin Smith,,10.12.87,USA
190,39.0,1:20.39,Texas Christian University,1h3,Philadelphia,29.04.2000
