,0,1,2,3,4,5,6,7,8,9
0,1,9.99A,2.7,Leandro Peñalver,CUB,23.05.61,1h2,Ciudad de,México,22.07.1988
1,2,10.01A,2.7,José Javier Arques,ESP,16.05.60,2h2,Ciudad de,México,22.07.1988
2,3,10.05,,Everett Walker,USA,03.10.90,1,Akrkansas,City,02.04.2011
3,4,10.08,,Jeremy Hardy,USA,10.09.89,2,Akrkansas,City,02.04.2011
