,0,1,2,3,4,5,6,7,8,9
0,1,6.5,Anwar Moore,USA,05.03.79,1,New,York,City,28.12.2003
1,2,6.57,Kwesi Sarabo,GUY,07.12.77,2,New,York,City,28.12.2003
2,3,6.59,Lee Prowell,GUY,11.01.75,3,New,York,City,28.12.2003
