,0,1,2,3,4,5,6
0,1,30:35.93,Alice Timbilil,KEN,01.02.83,Sevilla,26.08.1999
1,2,30:53.05,Leah Malot,KEN,07.06.72,Sevilla,26.08.1999
2,3,30:54.89,Rose Davies,AUS,21.12.99,Hengelo,06.06.2021
