,0,1,2,3,4,5
0,1.0,42.33,The Netherlands,,Beijing,29.08.2015
1,,,Nadine Visser,,09.02.95,NED
2,,,Dafne Schippers,,15.06.92,NED
3,,,Naomi Sedney,,17.12.94,NED
4,,,Jamile Samuel,,24.04.92,NED
5,2.0,42.68,Brazil,h2,Ad-Dawhah,04.10.2019
6,,,Bruna Jéssica Farias,,19.05.92,BRA
7,,,Vitoria Cristina Rosa,,12.01.96,BRA
8,,,Lorraine Martins,,04.04.00,BRA
9,,,Rosângela Santos,,20.12.90,BRA
10,3.0,42.72,Bahamas,h2,Moskva,18.08.2013
11,,,Sheniqua Ferguson,,24.11.89,BAH
12,,,Shaunae Miller-Uibo,,15.04.94,BAH
13,,,Cache Armbrister,,26.09.89,BAH
14,,,Debbie Ferguson-McKenzie,,16.01.76,BAH
15,4.0,42.73,France,,Moskva,18.08.2013
16,,,Céline Distel-Bonnet,,25.05.87,FRA
17,,,Ayodelé Ikuesan,,15.05.85,FRA
18,,,Myriam Soumaré,,29.10.86,FRA
19,,,Stella Akakpo,,28.02.94,FRA
20,5.0,42.75,Nike International,,Philadelphia,25.04.1998
21,,,Passion Richardson,,25.01.75,USA
22,,,Marion Jones,,12.10.75,USA
23,,,Inger Miller,,12.06.72,USA
24,,,Gail Devers,,19.11.66,USA
25,6.0,42.85,Brazil,h2,Rio de Janeiro,18.08.2016
26,,,Bruna Jéssica Farias,,19.05.92,BRA
27,,,Franciela Krasucki,,26.04.88,BRA
28,,,Kauiza Venâncio,,11.06.87,BRA
29,,,Rosângela Santos,,20.12.90,BRA
