,0,1,2,3,4
0,1.0,42.08,Bulgaria,Sofia,08.08.1984
1,,,Pepa Pavlova,01.01.61,BUL
2,,,Anelia Nuneva,30.06.62,BUL
3,,,Nadezhda Georgieva,02.09.61,BUL
4,,,Liliana Ivanova,17.03.56,BUL
