,0,1,2,3,4,5
0,1.0,15:49.08,Ireland,1,Dublin,17.08.1985
1,,,Eamonn Coghlan,(4:00.2),24.11.52,IRL
2,,,Marcus O'Sullivan,(3:55.3),22.12.61,IRL
3,,,Frank O'Mara,(3:55.6),17.07.60,IRL
4,,,Ray Flynn,(3:56.98),22.01.57,IRL
5,2.0,15:52.05,Duck Track Club,1,Eugene,23.04.2022
6,,,Matt Wisner,(3:59.69),21.05.98,USA
7,,,James West,(4:01.82),30.01.96,GBR
8,,,Cole Hocker,(3:57.31),06.06.01,USA
9,,,Cooper Teare,(3:52.24),18.08.99,USA
10,3.0,15:59.57,New Zealand,1,Auckland,02.03.1983
11,,,Tony Rogers,(3:57.2),30.04.57,NZL
12,,,John Bowden,(4:02.5),19.06.56,NZL
13,,,Mike Gilchrist,(4:02.8),09.08.60,NZL
14,,,John Walker,(3:57.07),12.01.52,NZL
15,4.0,16:02.4,New Zealand,1,Auckland,03.02.1972
16,,,Kevin Ross,(4:01.0),21.05.47,NZL
17,,,Tony Polhill,(4:02.0),15.12.47,NZL
18,,,Richard Tayler,(4:01.0),12.08.48,NZL
19,,,Dick Quax,(3:58.4),01.01.48,NZL
20,5.0,16:03.24,University of Oregon,1,Eugene,09.05.2009
21,,,Matthew Centrowitz,(3:59.53),18.10.89,USA
22,,,Andrew Wheating,(3:59.60),21.11.87,USA
23,,,Shadrack Biwott,(4:05.20),19.02.85,KEN
24,,,Galen Rupp,(3:58.91),08.05.86,USA
25,6.0,16:04.54,University of Michigan,1,Philadelphia,30.04.2005
26,,,Andrew Ellerton,(4:05.9),18.11.83,CAN
27,,,Mike Woods,(4:03.0),12.10.86,CAN
28,,,Nick Willis,(3:56.2),25.04.83,NZL
29,,,Nathan Brannen,(3:59.4),08.09.82,CAN
30,7.0,16:05.0,Oregon Track Club,1,Eugene,30.05.1968
31,,,Roscoe Divine,(4:03.2),03.11.47,USA
32,,,Wade Bell,(4:01.0),03.01.45,USA
33,,,Arne Kvalheim,(4:03.3),25.04.45,NOR
34,,,David Wilborn,(3:57.5),17.09.45,USA
35,8.0,16:07.96,University of Arkansas,1,Philadelphia,24.04.1999
36,,,Sharif Karie,(4:03.2),01.01.78,SOM
37,,,Michael Power,(4:02.2),09.05.76,AUS
38,,,Matthew Kerr,(4:07.0),03.05.76,CAN
39,,,Seneca Lassiter,(3:55.6),12.03.77,USA
40,9.0,16:08.54,Athletics West - Red,1,Eugene,04.05.1984
41,,,Dan Aldridge,(4:03.4),13.09.56,USA
42,,,Doug Padilla,(4:04.7),04.10.56,USA
43,,,Tom Smith,(4:01.9),09.10.57,USA
44,,,Chuck Aragon,(3:58.6),29.03.59,USA
45,10.0,16:08.81,University of Arkansas,1,Philadelphia,29.04.2000
46,,,Murray Link,(4:05.7),20.01.77,CAN
47,,,Sharif Karie,(4:01.2),01.01.78,SOM
48,,,Ryan Travis,(4:00.1),19.12.78,USA
49,,,James Karanu,(4:01.8),05.01.76,KEN
50,11.0,16:08.9,University of Oregon,1,Fresno,12.05.1962
51,,,Archie San Romani Jr,(4:03.5),15.01.41,USA
52,,,Vic Reeve,(4:05.4),41,CAN
53,,,Keith Forman,(4:02.3),24.02.41,USA
54,,,Dyrol Burleson,(3:57.7),22.04.40,USA
55,12.0,16:09.6,Federal Republic of Germany,1,Berlin,24.06.1969
56,,,Walter Adams,(4:05.0),15.03.45,FRG
57,,,Bodo Tümmler,(4:07.0),08.12.43,FRG
58,,,Harald Norpoth,(3:58.9),22.08.42,FRG
59,,,Jürgen May,(3:58.7),18.06.42,FRG
60,13.0,16:09.84,University of Arkansas,1,Philadelphia,27.04.2002
61,,,Michael Taylor,(4:05.5),05.01.82,USA
62,,,Daniel Lincoln,(3:58.2),22.10.80,USA
63,,,Chris Mulvaney,(4:01.9),25.05.81,GBR
64,,,Alistair Cragg,(4:04.2),13.06.80,RSA
65,14.0,16:10.6,Villanova University,1,Philadelphia,27.04.1974
66,,,Tom Gregan,(4:05.4),,IRL
67,,,Brian McElroy,(4:04.2),10.12.49,USA
68,,,Eamonn Coghlan,(4:00.9),24.11.52,IRL
69,,,John Hartnett,(4:00.1),07.06.50,IRL
70,15.0,16:11.57,Athletics West - White,2,Eugene,04.05.1984
71,,,Larry Mangan,(4:04.2),24.05.59,USA
72,,,Randy Wilson,(4:03.8),07.09.55,USA
73,,,Richie Harris,(4:05.1),04.03.59,USA
74,,,Jim Spivey,(3:58.5),07.03.60,USA
75,16.0,16:11.65,University of Arkansas,1,Philadelphia,25.04.1998
76,,,Philip Price,(4:04.8),21.08.74,USA
77,,,Matthew Kerr,(4:01.2),03.05.76,CAN
78,,,Michael Power,(4:02.9),09.05.76,AUS
79,,,Seneca Lassiter,(4:02.8),12.03.77,USA
80,17.0,16:14.0,Belgium,1,Audenaarde,09.09.1969
81,,,Gilbert Van Manshoven,,26.03.46,BEL
82,,,Johnny Dumon,,15.12.46,BEL
83,,,André de Hertoghe,,19.04.41,BEL
84,,,Rudi Simon,,23.03.46,BEL
85,18.0,16:14.12,University of Texas El Paso,1,Austin,03.04.1976
86,,,Joseph Gichongeri,(4:05.2),,KEN
87,,,James Munyala,(4:05.9),02.11.52,KEN
88,,,Frank Munene,(4:05.5),15.12.54,KEN
89,,,Wilson Waigwa,(3:58.5),15.02.49,KEN
90,19.0,16:14.4,Manhattan College,2,Philadelphia,27.04.1974
91,,,Pete Squires,(4:05.9),17.06.50,USA
92,,,Matt Centrowitz,(4:04.4),28.01.55,USA
93,,,Joe Savage,(4:03.3),29.05.52,USA
94,,,Antonio Colon,(4:00.8),24.03.53,PUR
95,20.0,16:14.92,University of Arkansas,1,Philadelphia,29.04.2006
96,,,Colin Costello,(4:08.0),17.06.86,IRL
97,,,Seth Summerside,(4:03.2),14.02.84,USA
98,,,Marc Rodrigues,(4:04.3),09.02.82,RSA
99,,,Josphat Boit,(3:59.4),26.11.83,KEN
100,21.0,16:15.14,University of Oregon,1,Philadelphia,24.04.2010
101,,,Mac Fleet,(4:03.3),17.10.90,USA
102,,,Michael Maag,(4:04.1),19.06.87,USA
