,0,1,2,3,4,5,6
0,1,2:05:58,El Mahjoub Dazza,MAR,03.03.91,Praha,05.05.2019
1,2,2:06:15,Luka Kanda,KEN,01.01.87,Chuncheon,29.10.2017
2,3,2:07:10,El Mahjoub Dazza,MAR,03.03.91,Fukuoka,01.12.2019
3,4,2:07:37,Julio Rey,ESP,13.01.72,Rotterdam,18.04.1999
4,5,2:08:18,Abdellah Falil,MAR,29.05.76,Daegu,10.04.2011
5,6,2:08:21,Abdellah Tagharrafet,MAR,85,Bilbao,22.10.2011
6,7,2:08:37,Abdellah Tagharrafet,MAR,85,Otsu,04.03.2012
7,8,2:08:42,Abderrahim Bouramdane,MAR,01.01.78,London,17.04.2011
8,9,2:09:11,Hafid Chani,MAR,12.02.86,London,21.04.2013
9,10,2:09:16,Ahmed Baday,MAR,12.01.74,Daegu,08.04.2012
10,11,2:09:24,Abdellah Falil,MAR,29.05.76,Gongju,17.10.2010
11,12,2:09:57,Sentayehu Merga,ETH,18.03.85,Guangzhou,06.12.2015
12,13,2:10:01,Abdellah Tagharrafet,MAR,85,Guangzhou,06.12.2015
13,14,2:10:13,Abderrahim Bouramdane,MAR,01.01.78,London,22.04.2012
14,15,2:10:14,Ahmed Baday,MAR,12.01.74,Beppu-Oita,06.12.2011
15,16,2:10:21,Eliud Cheptei,KEN,,Zhengzhou,31.03.2011
16,17,2:10:28,Hu Gangjun,CHN,04.12.70,Rotterdam,17.04.1994
