,0,1,2,3,4,5,6,7,8,9
0,1,45:22,Josephat Machuka,KEN,12.12.73,1,Amsterdam,-,Zaandam,19.09.1993
1,2,46:07,Vincent Rousseau,BEL,29.07.62,1,Amsterdam,-,Zaandam,11.10.1987
2,2,46:07,Paul Tergat,KEN,17.06.69,2,Amsterdam,-,Zaandam,19.09.1993
