,0,1,2,3,4,5
0,1.0,40.82,United States,1,London,10.08.2012
1,,,Tianna Bartoletta,(11.12),30.08.85,USA
2,,,Allyson Felix,(9.97),18.11.85,USA
3,,,Bianca Knight,(10.33),02.01.89,USA
4,,,Carmelita Jeter,(9.70),24.11.79,USA
5,2.0,41.01,United States,1,Rio de Janeiro,19.08.2016
6,,,Tianna Bartoletta,,30.08.85,USA
7,,,Allyson Felix,,18.11.85,USA
8,,,English Gardner,,22.04.92,USA
9,,,Tori Bowie,,27.08.90,USA
10,3.0,41.02,Jamaica,1,Tokyo,06.08.2021
11,,,Briana Williams,,21.03.02,JAM
12,,,Elaine Thompson-Herah,,28.06.92,JAM
13,,,Shelly-Ann Fraser-Pryce,,27.12.86,JAM
14,,,Shericka Jackson,,16.07.94,JAM
15,4.0,41.07,Jamaica,1,Beijing,29.08.2015
16,,,Veronica Campbell-Brown,,16.05.82,JAM
17,,,Natasha Morrison,,17.11.92,JAM
18,,,Elaine Thompson-Herah,,28.06.92,JAM
19,,,Shelly-Ann Fraser-Pryce,,27.12.86,JAM
20,5.0,41.14,United States,1,Eugene,23.07.2022
21,,,Melissa Jefferson,(11.35),21.02.01,USA
22,,,Abby Steiner,(9.86),24.11.99,USA
23,,,Jenna Prandini,(10.05),20.11.92,USA
24,,,Twanisha Terry,(9.91),24.01.99,USA
25,6.0,41.18,Jamaica,2,Eugene,23.07.2022
26,,,Kemba Nelson,(11.45),23.02.00,JAM
27,,,Elaine Thompson-Herah,(10.10),28.06.92,JAM
28,,,Shelly-Ann Fraser-Pryce,(9.97),27.12.86,JAM
29,,,Shericka Jackson,"(9,72)",16.07.94,JAM
30,7.0,41.29,Jamaica,1,Moskva,18.08.2013
31,,,Carrie Russel,,18.10.90,JAM
32,,,Kerron Stewart,,16.04.84,JAM
33,,,Schillonie Calvert,,27.07.88,JAM
34,,,Shelly-Ann Fraser-Pryce,(9.76),27.12.86,JAM
35,8.0,41.36,Jamaica,2,Rio de Janeiro,19.08.2016
36,,,Christania Williams,,17.10.94,JAM
37,,,Elaine Thompson-Herah,,28.06.92,JAM
38,,,Veronica Campbell-Brown,,16.05.82,JAM
39,,,Shelly-Ann Fraser-Pryce,,27.12.86,JAM
40,9.0,41.37,German Democratic Republic,1,Canberra,06.10.1985
41,,,Silke Möller,(11.13),20.06.64,GER
42,,,Sabine Günther,(10.14),06.11.63,GER
43,,,Ingrid Auerswald,(10.40),02.09.57,GDR
44,,,Marlies Göhr,(10.02),21.03.58,GDR
45,10.0,41.41,Jamaica,2,London,10.08.2012
46,,,Shelly-Ann Fraser-Pryce,(11.27),27.12.86,JAM
