,0,1,2,3,4,5
0,1.0,3:15.17,Soviet Union,1,Seoul,01.10.1988
1,,,Tatyana Ledovskaya,(50.12),21.05.66,BLR
2,,,Olga Nazarova II,(47.82),01.06.65,RUS
3,,,Mariya Pinigina,(49.43),09.02.58,UKR
4,,,Olga Bryzgina,(47.80),30.06.63,UKR
5,2.0,3:15.51,United States,2,Seoul,01.10.1988
6,,,Denean Hill,(49.82),05.10.64,USA
7,,,Diane Dixon,(49.17),23.09.64,USA
8,,,Valerie Brisco,(48.44),06.07.60,USA
9,,,Florence Griffith-Joyner,(48.08),21.12.59,USA
10,3.0,3:15.92,German Democratic Republic,1,Erfurt,03.06.1984
11,,,Gesine Walther,(49.8),06.10.62,GDR
12,,,Sabine Busch,(48.9),21.11.62,GER
13,,,Dagmar Neubauer,(49.4),03.06.62,GER
14,,,Marita Koch,(47.70),18.02.57,GDR
15,4.0,3:16.71,United States,1,Stuttgart,22.08.1993
16,,,Gwen Torrence,(49.03),12.06.65,USA
17,,,Maicel Malone,(49.44),12.06.69,USA
18,,,Natasha Kaiser-Brown,(49.51),14.05.67,USA
19,,,Jearl Miles-Clark,(48.78),04.09.66,USA
20,5.0,3:16.85,United States,1,Tokyo,07.08.2021
21,,,Sydney McLaughlin,(50.2),07.08.99,USA
22,,,Allyson Felix,(49.3),18.11.85,USA
23,,,Dalilah Muhammad,(48.94),07.02.90,USA
24,,,Athing Mu,(48.32),08.06.02,USA
25,6.0,3:16.87,German Democratic Republic,1,Stuttgart,31.08.1986
26,,,Kirsten Emmelmann,(50.9),19.04.61,GDR
27,,,Sabine Busch,(48.8),21.11.62,GER
28,,,Petra Schersing,(49.0),18.07.65,GER
29,,,Marita Koch,(48.21),18.02.57,GDR
30,6.0,3:16.87,United States,1,London,11.08.2012
31,,,Dee Dee Trotter,(50.2),08.12.82,USA
32,,,Allyson Felix,(48.2),18.11.85,USA
33,,,Francena McCorory,(49.39),20.10.88,USA
34,,,Sanya Richards-Ross,(49.10),26.02.85,USA
35,8.0,3:17.79,United States,1,Eugene,24.07.2022
36,,,Talitha Diggs,(50.50),22.08.02,USA
37,,,Abby Steiner,(49.99),24.11.99,USA
38,,,Britton Wilson,(49.39),13.11.00,USA
39,,,Sydney McLaughlin,(47.91),07.08.99,USA
40,9.0,3:17.83,United States,1,Berlin,23.08.2009
41,,,Debbie Dunn,(50.55),26.03.78,USA
42,,,Allyson Felix,(48.75),18.11.85,USA
43,,,Lashinda Demus,(50.10),10.03.83,USA
44,,,Sanya Richards-Ross,(48.43),26.02.85,USA
45,10.0,3:18.09,United States,1,Daegu,03.09.2011
46,,,Sanya Richards-Ross,(49.3),26.02.85,USA
47,,,Allyson Felix,(49.4),18.11.85,USA
48,,,Jessica Beard,(49.84),08.01.89,USA
49,,,Francena McCorory,(49.52),20.10.88,USA
50,11.0,3:18.29,United States,1,Los Angeles,11.08.1984
51,,,Lillie Leatherwood,(50.50),06.07.64,USA
52,,,Sherri Howard,(48.83),01.06.62,USA
53,,,Valerie Brisco,(49.23),06.07.60,USA
54,,,Chandra Cheeseborough,(49.73),10.01.59,USA
55,11.0,3:18.29,German Democratic Republic,3,Seoul,01.10.1988
56,,,Dagmar Neubauer,(50.58),03.06.62,GER
57,,,Kirsten Emmelmann,(49.91),19.04.61,GDR
58,,,Sabine Busch,(48.81),21.11.62,GER
59,,,Petra Schersing,(48.99),18.07.65,GER
60,13.0,3:18.38,Russia,2,Stuttgart,22.08.1993
61,,,Yelena Ruzina,(50.85),23.07.64,RUS
62,,,Tatyana Alekseyeva,(49.31),07.10.63,RUS
63,,,Margarita Ponomaryova,(49.81),19.06.63,RUS
64,,,Irina Privalova,(48.47),12.11.68,RUS
