,0,1,2,3,4,5
0,1.0,3:21.75A,University of Arkansas,1r3,Albuquerque,11.03.2023
1,,,Amber Anning,(51.47),18.11.00,GBR
2,,,Joanne Reid,(50.52),25.12.01,JAM
3,,,Rosaline Effiong,(50.57),08.05.01,USA
4,,,Britton Wilson,(49.20),13.11.00,USA
5,2.0,3:23.37,Russia,1,Glasgow,28.01.2006
6,,,Yuliya Gushchina,(51.75),04.03.83,RUS
7,,,Olga Kotlyarova,(50.40),12.04.76,RUS
8,,,Olga Zaytseva,(51.03),10.11.84,RUS
9,,,Olesya Krasnomovets,(50.19),08.07.79,RUS
10,3.0,3:23.85,United States,1,Birmingham,04.03.2018
11,,,Quanera Hayes,(51.51),07.03.92,USA
12,,,Georganne Moline,(50.87),06.03.90,USA
13,,,Shakima Wimbley,(51.29),23.04.95,USA
14,,,Courtney Okolo,(50.18),15.03.94,USA
15,4.0,3:23.88,Russia,1,Budapest,07.03.2004
16,,,Olesya Krasnomovets,(51.37),08.07.79,RUS
17,,,Olga Kotlyarova,(50.12),12.04.76,RUS
18,,,Tatyana Levina,(52.50),28.02.77,RUS
19,,,Natalya Nazarova,(49.89),22.05.79,RUS
20,5.0,3:24.09,University of Arkansas,1r3,College Station,26.02.2022
21,,,Rosaline Effiong,(51.97),08.05.01,USA
22,,,Jayla Hollis,(51.70),03.09.02,USA
23,,,Shafiqua Maloney,(50.60),27.02.99,VIN
24,,,Britton Wilson,(49.84),13.11.00,USA
25,6.0,3:24.25,Russia,1,Maebashi,07.03.1999
26,,,Tatyana Chebykina,(51.68),22.11.68,RUS
27,,,Svetlana Goncharenko,(50.30),26.05.71,RUS
28,,,Olga Kotlyarova,(50.77),12.04.76,RUS
29,,,Natalya Nazarova,(51.50),22.05.79,RUS
30,7.0,3:24.83,United States,1,Sopot,09.03.2014
31,,,Natasha Hastings,(51.89),23.07.86,USA
32,,,Joanna Atkins,(50.91),31.01.89,USA
33,,,Francena McCorory,(50.33),20.10.88,USA
34,,,Cassandra Tate,(51.70),11.09.90,USA
35,8.0,3:24.91,Russia,1,Moskva,12.03.2006
36,,,Tatyana Levina,(51.63),28.02.77,RUS
37,,,Natalya Nazarova,(51.21),22.05.79,RUS
38,,,Olesya Krasnomovets,(50.69),08.07.79,RUS
39,,,Natalya Antyukh,(51.38),26.06.81,RUS
40,9.0,3:25.43,Texas A&M University,2r3,College Station,26.02.2022
41,,,Laila Owens,(52.12),24.10.02,USA
42,,,Tierra Robinson-Jones,(51.77),22.11.99,USA
43,,,Syaira Richardson,(51.48),29.10.98,USA
44,,,Charokee Young,(50.08),21.08.00,JAM
45,10.0,3:25.66,The Netherlands,1,Istanbul,05.03.2023
46,,,Lieke Klaver,(50.67),20.08.98,NED
47,,,Eveline Saalberg,(52.27),30.07.98,NED
48,,,Cathelijn Peeters,(53.14),06.11.96,NED
49,,,Femke Bol,(49.58),23.02.00,NED
50,11.0,3:25.67A,University of Texas,2r3,Albuquerque,11.03.2023
51,,,Rachel Helbling,(52.46),,USA
52,,,Kennedy Simon,(50.69),12.02.00,USA
53,,,Julien Alfred,(51.76),10.06.01,LCA
54,,,Rhasidat Adeleke,(50.77),29.08.02,IRL
55,12.0,3:25.89,University of Kentucky,3r3,College Station,26.02.2022
56,,,Megan Moss,(52.76),22.03.02,BAH
57,,,Abby Steiner,(51.87),24.11.99,USA
58,,,Karimah Davis,(50.93),23.11.98,USA
59,,,Alexis Holmes,(50.36),28.01.00,USA
60,13.0,3:25.91,Russia,1h1,Moskva,12.03.2006
61,,,Yuliya Gushchina,(51.62),04.03.83,RUS
62,,,Tatyana Veshkurova,(52.27),23.09.81,RUS
63,,,Tatyana Levina,(51.03),28.02.77,RUS
64,,,Natalya Antyukh,(50.99),26.06.81,RUS
65,14.0,3:26.09,Poland,2,Birmingham,04.03.2018
66,,,Justyna Swiety-Ersetic,(52.18),03.12.92,POL
67,,,Patrycyja Wyciszkiewicz,(50.97),08.01.94,POL
68,,,Aleksandra Gaworska,(51.31),07.11.95,POL
69,,,Malgorzata Holub-Kowalik,(51.63),30.10.92,POL
70,15.0,3:26.27,Texas A&M University,1r2,Fayetteville,13.02.2021
71,,,Jania Martin,(53.04),09.05.00,USA
72,,,Charokee Young,(51.86),21.08.00,JAM
73,,,Syaira Richardson,(51.12),29.10.98,USA
74,,,Athing Mu,(50.27),08.06.02,USA
75,16.0,3:26.38,United States,1,Portland,20.03.2016
76,,,Natasha Hastings,(51.88),23.07.86,USA
77,,,Quanera Hayes,(50.99),07.03.92,USA
78,,,Courtney Okolo,(50.80),15.03.94,USA
79,,,Ashley Spencer,(52.74),06.06.93,USA
80,17.0,3:26.40,University of Arkansas,1r7,Fayetteville,28.01.2023
81,,,Amber Anning,(51.19),18.11.00,GBR
82,,,Nickisha Pryce,(51.34),07.03.01,JAM
83,,,Paris Peoples,(51.99),27.05.00,USA
84,,,Rosaline Effiong,(50.90),08.05.01,USA
85,18.0,3:26.54,Jamaica,2,Sopot,09.03.2014
86,,,Patricia Hall,(52.80),16.10.82,JAM
87,,,Anneisha McLaughlin-Whil,(51.25),06.01.86,JAM
88,,,Kaliese Spencer,(51.13),06.04.87,JAM
89,,,Stephenie Ann McPherson,(51.36),25.11.88,JAM
90,19.0,3:26.68,Texas A&M University,1r3,Fayetteville,13.03.2021
91,,,Jania Martin,(53.16),09.05.00,USA
92,,,Charokee Young,(50.97),21.08.00,JAM
93,,,Tierra Robinson-Jones,(53.02),22.11.99,USA
94,,,Athing Mu,(49.54),08.06.02,USA
95,20.0,3:26.84,Russia,1,Paris,09.03.1997
96,,,Tatyana Chebykina,(52.97),22.11.68,RUS
97,,,Svetlana Goncharenko,(51.28),26.05.71,RUS
98,,,Olga Kotlyarova,(51.45),12.04.76,RUS
99,,,Tatyana Alekseyeva,(51.14),07.10.63,RUS
100,21.0,3:26.87,Australia,2,Maebashi,07.03.1999
101,,,Susan Andrews,(52.33),26.05.71,AUS
102,,,Tania Van Heer-Murphy,(51.45),30.12.70,AUS
103,,,Tamsyn Manou,(51.32),20.07.78,AUS
104,,,Cathy Freeman,(51.77),16.02.73,AUS
105,22.0,3:26.99A,Texas A&M University,3r3,Albuquerque,11.03.2023
106,,,Jermaisha Arnold,(51.86),05.02.02,USA
107,,,Kennedy Wade,(50.98),22.07.03,USA
108,,,Jania Martin,(52.64),09.05.00,USA
109,,,Tierra Robinson-Jones,(51.52),22.11.99,USA
110,23.0,3:27.03,University of Southern C,1r3,College Station,11.03.2017
111,,,Cameron Pettigrew,(52.75),17.04.95,USA
112,,,Amalie Hammild Iuel,(51.65),17.04.94,NOR
113,,,Deanna Hill,(51.46),13.04.96,USA
114,,,Kendall Ellis,(51.18),08.03.96,USA
115,24.0,3:27.07,University of Oregon,2r3,College Station,11.03.2017
116,,,Makenzie Dunmore,(53.07),07.10.97,USA
117,,,Deajah Stevens,(51.11),19.05.95,USA
118,,,Elexis Guster,(51.74),07.07.94,USA
119,,,Raevyn Rogers,(51.16),07.09.96,USA
120,25.0,3:27.15,The Netherlands,1,Torun,07.03.2021
121,,,Lieke Klaver,(51.67),20.08.98,NED
122,,,Marit Dopheide,(53.18),28.12.90,NED
123,,,Lisanne de Witte,(52.31),10.09.92,NED
124,,,Femke Bol,(49.99),23.02.00,NED
125,26.0,3:27.22,Germany,1,Sevilla,10.03.1991
126,,,Sandra Seuser,(53.3),17.04.66,GER
127,,,Kathrin Schreiter,(52.7),24.02.69,GER
128,,,Annette Hesselbarth,(51.8),04.06.66,GER
129,,,Grit Breuer,(50.4),16.02.72,GER
130,27.0,3:27.23,University of Arkansas,1r3,Birmingham AL,12.03.2022
131,,,Rosaline Effiong,(52.45),08.05.01,USA
132,,,Jayla Hollis,(52.71),03.09.02,USA
133,,,Shafiqua Maloney,(51.47),27.02.99,VIN
134,,,Britton Wilson,(50.61),13.11.00,USA
135,28.0,3:27.27,University of Kentucky -,1r1,Clemson,12.02.2022
136,,,Megan Moss,(53.44),22.03.02,BAH
137,,,Abby Steiner,(50.72),24.11.99,USA
138,,,Karimah Davis,(52.49),23.11.98,USA
139,,,Alexis Holmes,(50.84),28.01.00,USA
140,29.0,3:27.34,United States,1,Ad-Dawhah,14.03.2010
141,,,Debbie Dunn,(51.21),26.03.78,USA
142,,,Dee Dee Trotter,(52.54),08.12.82,USA
143,,,Natasha Hastings,(52.67),23.07.86,USA
144,,,Allyson Felix,(50.92),18.11.85,USA
145,30.0,3:27.40A,University of Oregon,1rA,Albuquerque,15.03.2014
146,,,Chizoba Okodogbe,(53.12),03.11.92,NGR
147,,,Laura Roesler,(51.25),19.12.91,USA
148,,,Christian Brennan,(52.40),27.03.95,CAN
149,,,Phyllis Francis,(50.64),04.05.92,USA
150,31.0,3:27.42A,University of Texas,2rA,Albuquerque,15.03.2014
151,,,Briana Nelson,(53.00),18.07.92,USA
152,,,Courtney Okolo,(51.22),15.03.94,USA
153,,,Kendall Baisden,(52.23),05.03.95,USA
154,,,Ashley Spencer,(50.99),06.06.93,USA
155,32.0,3:27.45,University of Southern C,1r4,College Station,10.03.2018
156,,,Kaelin Roberts,(52.32),06.01.99,USA
157,,,Anna Cockrell,(52.65),28.08.97,USA
158,,,Deanna Hill,(51.74),13.04.96,USA
159,,,Kendall Ellis,(50.75),08.03.96,USA
160,33.0,3:27.56,Great Britain & N.I.,1,Göteborg,03.03.2013
161,,,Eilidh Doyle,(52.21),20.02.87,GBR
162,,,Shana Cox,(52.25),22.01.85,GBR
163,,,Christine Ohuruogu,(51.88),17.05.84,GBR
164,,,Perri Shakes-Drayton,(51.22),21.12.88,GBR
165,33.0,3:27.56,University of Southern C,1r1,Clemson,10.02.2018
166,,,Kyra Constantine,(52.96),01.08.98,CAN
167,,,Anna Cockrell,(52.26),28.08.97,USA
168,,,Deanna Hill,(52.24),13.04.96,USA
169,,,Kendall Ellis,(50.11),08.03.96,USA
170,35.0,3:27.57,University of Arkansas,1r3,Fayetteville,25.02.2023
171,,,Joanne Reid,(52.94),25.12.01,JAM
172,,,Rosaline Effiong,(52.29),08.05.01,USA
173,,,Amber Anning,(50.93),18.11.00,GBR
174,,,Britton Wilson,(51.43),13.11.00,USA
175,36.0,3:27.58,University of Florida,2r7,Fayetteville,28.01.2023
176,,,Laila Owens,(53.03),24.10.02,USA
177,,,Jayla Hollis,(51.26),03.09.02,USA
178,,,Vanessa Watson,(52.86),28.10.01,USA
179,,,Talitha Diggs,(50.44),22.08.02,USA
180,37.0,3:27.59,United States,3,Maebashi,07.03.1999
181,,,Monique Hennagan,(52.20),26.05.76,USA
182,,,Michelle Collins,(51.37),12.02.71,USA
183,,,Zundra Feagin-Alexander,(52.76),12.07.73,USA
184,,,Shanelle Porter,(51.26),20.01.72,USA
185,38.0,3:27.66,United States,2,Paris,09.03.1997
186,,,Shanelle Porter,(52.81),20.01.72,USA
187,,,Natasha Kaiser-Brown,(52.25),14.05.67,USA
188,,,Anita Howard,(52.35),22.03.69,USA
189,,,Jearl Miles-Clark,(50.25),04.09.66,USA
190,38.0,3:27.66,University of Texas,1r3,Fayetteville,15.03.2003
191,,,Naleya Keasha Downer,(52.8),27.01.80,JAM
192,,,Raasin McIntosh,(51.7),29.04.82,USA
