,0,1,2,3,4,5,6,7,8,9
0,1,13.36,1.4,Yaqoub Al-Yoha,,KUW,31.01.93,1h1,Konya,10.08.2022
1,2,13.4,0.3,Amine Bouanani,,ALG,17.10.97,1h2,Konya,10.08.2022
2,3,13.43,0.3,Louis François,Mendy,SEN,02.03.99,2h2,Konya,10.08.2022
