,0,1,2,3,4,5,6,7,8,9
0,1,44.44A,Roberto Hernández,CUB,06.03.67,1,Ciudad,de,México,22.07.1988
1,2,45.20,Randy Curry,USA,04.11.83,1,Durham,,,12.05.2007
