,0,1,2,3,4,5,6
0,1,6.01,Piotr Lisek,POL,16.08.92,Lausanne,05.07.2019
1,2,5.9,Sergey Bubka,UKR,04.12.63,Roma,08.06.1995
2,3,5.85,Maksim Tarasov,RUS,02.12.70,London,12.07.1996
3,3,5.85,Andrej Tiwontschik,GER,13.07.70,London,12.07.1996
4,3,5.85,Toby Stevenson,USA,19.11.76,Palo Alto,31.05.2004
5,6,5.8,Jeff Hartwig,USA,25.09.67,Palo Alto,31.05.2004
6,7,5.76,Menno Vloon,NED,11.05.94,Leverkusen,27.07.2017
7,8,5.75,Björn Otto,GER,16.10.77,Cuxhaven,14.07.2007
8,8,5.75,Konstandínos Fillippídis,GRE,26.11.86,Pátra,17.06.2017
9,10,5.7,Rens Blom,NED,01.03.77,Amsterdam,10.07.2005
