,0,1,2,3,4,5,6
629,,,Lillian Board,,(2:07.0),13.12.48,GBR
630,12.0,8:27.04,University of Tennessee,,2rA,Philadelphia,28.04.2012
631,,,Nijgia Snapp,,(2:08.8),22.07.91,USA
632,,,Kianna Ruff,,(2:06.9),18.07.92,USA
633,,,Brittany Sheffey,,(2:07.1),18.12.88,USA
634,,,Chanelle Price,,(2:04.2),22.08.90,USA
635,12.0,8:27.15,Georgetown University,,5rB,Philadelphia,27.04.2013
636,,,Deseree King,,(2:11.16),15.04.92,USA
637,,,Chelsea Cox,,(2:01.62),18.08.92,USA
638,,,Andrea Keklak,,(2:06.82),01.10.93,USA
639,,,Katrina Coogan,,(2:07.57),15.11.93,USA
640,12.0,8:27.26,Princeton University,,6rB,Philadelphia,27.04.2013
641,,,Kacie O'Neil,,(2:09.28),,USA
642,,,Greta Feldman,,(2:03.15),30.03.91,USA
643,,,Cecilia Barowski,,(2:07.55),07.12.92,USA
644,,,Alexis Mikaelian,,(2:07.29),25.04.91,USA
645,13.0,8:27.29,University of Tennessee,,3,Philadelphia,30.04.2011
646,,,Nijgia Snapp,,(2:09.16),22.07.91,USA
647,,,Brittany Sheffey,,(2:07.14),18.12.88,USA
648,,,Kianna Ruff,,(2:07.53),18.07.92,USA
649,,,Chanelle Price,,(2:03.46),22.08.90,USA
650,13.0,8:27.42,University of Minnesota,,1,Des Moines,27.04.2007
651,,,Julie Schwengler,,(2:08.1),04.11.85,USA
652,,,Jamie Cheever,,(2:08.0),28.02.87,USA
653,,,Gabrielle Anderson,,(2:06.6),25.06.86,USA
654,,,Heather Kampf,,(2:04.7),19.01.87,USA
655,13.0,8:27.45,University of Tennessee,,2r1,Philadelphia,28.04.2007
656,,,Rose-Anne Galligan,,(2:07.4),09.12.87,IRL
657,,,Sarah Bowman,,(2:04.8),15.10.86,USA
658,,,Pheobe Wright,,(2:07.0),30.08.88,USA
659,,,Leslie Treherne,,(2:08.3),01.01.85,USA
660,13.0,8:27.54,Snam Gas Metano,,1,Cesena,03.10.1992
661,,,Nicoletta Tozzi,,,03.01.66,ITA
662,,,Caterina Cescofrare,,,20.02.66,ITA
663,,,Valentina Tauceri,,,20.07.66,ITA
664,,,Fabia Trabaldo,,,05.03.72,ITA
665,13.0,8:27.54,University of Tennessee,,7rB,Philadelphia,27.04.2013
666,,,Brittney Jackson,,(2:08.77),22.04.92,USA
667,,,Kianna Ruff,,(2:04.90),18.07.92,USA
668,,,Alexis Panisse,,(2:06.40),21.06.93,DOM
669,,,Nijgia Snapp,,(2:07.48),22.07.91,USA
670,13.0,8:27.58,Villanova University,,1,Philadelphia,26.04.1985
671,,,Mary McGowan,,(2:09.1),29.05.64,USA
672,,,Debbie Marshall,,(2:06.4),05.08.65,USA
673,,,Joanne Kehs,,(2:08.4),23.01.65,USA
674,,,Veronica McIntosh,,(2:03.7),22.09.63,USA
675,13.0,8:27.6,France,,2,Colombes,02.10.1971
676,,,Martine Duvivier,,,04.01.53,FRA
677,,,Chantal Jouvhomme,,,07.07.52,FRA
678,,,Monique Baulu,,,26.07.49,FRA
679,,,Colette Besson,,,07.04.46,FRA
680,13.0,8:27.66,Villanova University,,1,Philadelphia,26.04.1997
681,,,Jurga Marcinkevicuit?,,(2:06.6),17.10.74,LTU
682,,,Tamieka Grizzle,,(2:04.7),14.07.77,USA
683,,,Carmen Douma,,(2:11.4),12.03.77,CAN
684,,,Krestina Sullivan,,(2:05.0),11.03.74,CAN
685,13.0,8:27.9,University of Texas,,4,Philadelphia,26.04.1986
686,,,Liz Natale,,(2:11.2),11.06.64,USA
687,,,Julie Johnson,,(2:05.6),,USA
688,,,April Cook,,(2:09.3),23.06.65,USA
689,,,Karol Davidson,,(2:01.8),12.08.65,USA
690,13.0,8:28.17,Oklahoma State University,,2,Des Moines,29.04.2022
691,,,Maddie Salek,,(2:09.80),29.11.99,USA
692,,,Sivan Auerbach,,(2:05.61),02.04.00,ISR
693,,,Taylor Roe,,(2:09.40),13.10.00,USA
694,,,Gabija Galvydyte,,(2:03.37),17.01.00,LTU
695,14.0,8:28.24,Brigham Young University,,3,Philadelphia,30.04.2022
696,,,Megan Hunter,,(2:12.88),,USA
697,,,Alena Ellsworth,,(2:04.98),,USA
698,,,Lauren Barnes,,(2:07.18),01.04.97,USA
699,,,Claire Seymour,,(2:03.22),,USA
700,14.0,8:28.48,Athletics West,,1,Walnut,29.04.1984
701,,,Sue Addison,,(2:05.9),28.07.56,USA
702,,,Doriane Lambelet,,(2:07.5),,USA
703,,,Chris Gregorek,,(2:06.5),09.07.59,USA
704,,,Essie Washington,,(2:08.6),12.01.57,USA
705,14.0,8:28.48,Baylor University,,2,Des Moines,27.04.2007
706,,,Danielle Bradley,,(2:07.6),25.05.88,USA
707,,,Ruth Waller,,(2:08.6),06.03.84,GBR
708,,,Lauran Hagans,,(2:06.3),27.06.86,USA
709,,,Nichole Jones,,(2:06.0),30.03.89,USA
710,14.0,8:28.57,Georgetown University,,1,Philadelphia,27.04.1996
711,,,Amy Ross-Schroer,,(2:09.1),13.12.74,USA
712,,,Maxine Clarke,,(2:07.4),26.01.75,USA
713,,,Julian Reynolds,,(2:07.6),02.11.77,USA
714,,,Miesha Marzell,,(2:04.5),29.01.75,USA
715,14.0,8:28.6,Louisiana State University,,5,Philadelphia,26.04.1986
716,,,Jackie Bobien,,(2:07.7),,USA
717,,,Sylvia Brydson,,(2:09.0),27.04.67,USA
718,,,Schowonda Williams,,(2:05.3),03.12.66,USA
719,,,Camille Cato,,(2:06.6),02.05.63,CAN
720,14.0,8:28.61,University of California L,,3,Philadelphia,28.04.2001
721,,,Bridget Hatch,,(2:08.8),23.04.79,USA
722,,,Jessica Marr,,(2:06.2),02.12.80,USA
723,,,Tiffany Burgess,,(2:07.2),19.06.81,USA
724,,,Lena Nilsson,,(2:06.4),28.01.80,SWE
725,14.0,8:28.7,Federal Republic of German,,2,Edinburgh,13.06.1970
726,,,Ellen Wessinghage,,(2:07.9),28.06.48,FRG
727,,,Hildegard Falck,,(2:08.1),08.06.49,FRG
728,,,Christa Merten,,(2:04.8),14.10.44,FRG
729,,,Rosemarie Klute,,(2:07.9),21.03.45,FRG
730,14.0,8:28.83,Villanova University,,1,Philadelphia,29.04.1989
731,,,Michelle DiMuro-Ave,,(2:08.5),15.05.67,USA
732,,,Vicki Huber,,(2:07.3),29.05.67,USA
733,,,Kim Certain,,(2:06.0),03.03.68,USA
734,,,Michelle Bennett,,(2:06.9),20.02.69,JAM
735,14.0,8:28.87,University of Tennessee,,1r1,Knoxville,10.04.2004
736,,,Brooke Novak,,,04.10.82,USA
737,,,Nicole Cook,,,16.12.82,USA
738,,,Leslie Treherne,,,01.01.85,USA
739,,,Kameisha Bennett,,,13.01.81,USA
740,14.0,8:28.99,University of Tennessee -,,1,Gainesville,04.04.2009
741,,,Sarah Bowman,,,15.10.86,USA
742,,,Ramzee Fondren,,,24.03.90,USA
743,,,Chanelle Price,,,22.08.90,USA
744,,,Pheobe Wright,,,30.08.88,USA
745,15.0,8:29.25,Texas A&M University,,1,Austin,31.03.2018
746,,,Jean Jenkins,,(2:10.59),98,USA
747,,,Jazmine Fray,,(2:03.22),06.06.97,USA
748,,,Brittany Parker,,(2:09.84),11.05.98,USA
749,,,Samantha Watson,,(2:05.60),10.11.99,USA
750,15.0,8:29.52,Villanova University,,1,Philadelphia,27.04.1991
751,,,Irene Ruopoli,,(2:10.0),24.07.71,USA
752,,,Sonia O'Sullivan,,(2:04.4),28.11.69,IRL
753,,,Michelle Torelli,,(2:09.5),10.05.70,USA
754,,,Michelle Bennett,,(2:05.6),20.02.69,JAM
755,15.0,8:29.6,France,,4,Bourges,19.06.1977
756,,,,,,,FRA
757,,,,,,,FRA
758,,,,,,,FRA
759,,,,,,,FRA
760,15.0,8:29.69,Henan,,1,Nanjing,08.05.1996
761,,,,,,,CHN
762,,,,,,,CHN
763,,,,,,,CHN
764,,,,,,,CHN
765,15.0,8:29.70,The Netherlands,,4,Sheffield,05.06.1992
766,,,Grete Koens,,,26.05.67,NED
767,,,Laura Bosman,,,08.10.67,NED
768,,,Stella Jongmans,,,17.05.71,NED
769,,,Krista Aukema,,,20.09.67,NED
770,15.0,8:29.72,Villanova University,,2,Philadelphia,25.04.1987
771,,,Michelle DiMuro-Ave,,(2:12.0),15.05.67,USA
772,,,Debbie Marshall,,(2:01.3),05.08.65,USA
773,,,Gina Procaccio,,(2:07.3),19.07.64,USA
774,,,Celeste Halliday-Over,,(2:09.2),05.05.67,USA
775,15.0,8:29.77,University of North Caroli,a,4,Philadelphia,28.04.2001
776,,,Bobbie Jo Munson,,(2:08.4),28.12.80,USA
777,,,Shalane Flanagan,,(2:08.7),07.08.81,CAN
778,,,Beth George,,(2:08.5),15.04.79,USA
779,,,Alice Schmidt,,(2:04.2),10.03.81,USA
780,15.0,8:29.89,Georgetown University,,2,Philadelphia,26.04.1997
781,,,Katrina deBoer,,(2:10.9),25.06.78,USA
782,,,Maxine Clarke,,(2:06.5),26.01.75,USA
783,,,Amy Ross-Schroer,,(2:05.6),13.12.74,USA
784,,,Miesha Marzell,,(2:06.9),29.01.75,USA
785,15.0,8:29.98,Louisiana State University,,2,Philadelphia,26.04.1985
786,,,Jackie Bobien,,(2:09.8),,USA
787,,,Camille Cato,,(2:05.9),02.05.63,CAN
788,,,Muffy McLeod,,(2:11.0),26.10.60,USA
789,,,Christine Slythe,,(2:03.3),10.08.61,CAN
