,0,1,2,3,4,5,6,7,8,9,10
0,1,20:37,Alina Ivanova,RUS,16.03.69,1,Citta,di,st,Brigida,27.04.1991
1,2,20:40,Olga Kardopoltseva,BLR,11.09.66,2,Citta,di,st,Brigida,27.04.1991
2,3,20:44,Nadezhda Ryashkina,RUS,22.01.67,3,Citta,di,st,Brigida,27.04.1991
3,4,21:05,Pier-Carola Pagani,ITA,10.11.63,4,Citta,di,st,Brigida,27.04.1991
4,5,21:07,Victoria Lina,ROU,08.03.65,5,Citta,di,st,Brigida,27.04.1991
5,6,21:16,Ivana Brozmanova,CZE,15.03.69,6,Citta,di,st,Brigida,27.04.1991
6,7,21:17,Zuzana Zemkova,SVK,17.04.67,7,Citta,di,st,Brigida,27.04.1991
