,0,1,2,3,4,5,6,7,8,9
0,1,6.9,0.1,Marion,Jones,USA,12.10.75,rA,Berlin,01.09.2000
1,2,7.02,1.6,Angela,Issajenko,CAN,28.09.58,q2,Roma,29.08.1987
2,3,7.08,-0.6,Angela,Issajenko,CAN,28.09.58,,Roma,30.08.1987
3,4,7.16,0.1,Marion,Jones,USA,12.10.75,,Sacramento,10.07.2004
