,0,1,2,3,4,5,6
0,1.0,7:11.30,HOKA New Jersey NY Track,Club,1,Boston,25.02.2018
1,,,Joe McAsey,,(1:49.03),01.06.93,USA
2,,,Kyle Merber,,(1:47.11),19.11.90,USA
3,,,Christopher Giesting,,(1:47.43),10.12.92,USA
4,,,Jesse Garn,,(1:47.73),04.06.93,USA
5,2.0,7:11.84,Atlanta Track Club,,2,Boston,25.02.2018
6,,,Brandon Hazouri,,(1:49.84),21.10.93,USA
7,,,Patrick Peterson,,(1:48.73),26.08.92,USA
8,,,Edward Kemboi,,(1:45.55),09.12.93,KEN
9,,,Brandon Lasater,,(1:47.72),09.10.92,USA
10,3.0,7:12.25,District of Columbia,,3,Boston,25.02.2018
11,,,Blair Henderson,,(1:49.16),04.10.94,USA
12,,,Strymar Livingston,,(1:47.19),13.12.93,USA
13,,,Edose Ibadin,,(1:46.92),27.02.93,NGR
14,,,Matthew Centrowitz,,(1:48.98),18.10.89,USA
15,4.0,7:13.11,US All-Stars,,1,Boston,08.02.2014
16,,,Richard Jones,,(1:51.01),15.07.88,USA
17,,,David Torrence,,(1:47.46),26.11.85,USA
18,,,Duane Solomon,,(1:47.99),28.12.84,USA
19,,,Eric Sowinski,,(1:46.67),21.12.89,USA
20,5.0,7:13.22,New Jersey-New York TC -,Blue,2,Boston,08.02.2014
21,,,Selasi Lumax,,(1:49.69),01.08.90,GHA
22,,,Brian Gagnon,,(1:48.60),08.05.87,USA
23,,,Robby Andrews,,(1:48.29),29.03.91,USA
24,,,Michael Rutt,,(1:46.66),28.10.87,USA
25,6.0,7:13.94,Global Athletics & Mktg,,1,Boston,06.02.2000
26,,,Joey Woody,,(1:49.34),22.05.73,USA
27,,,Karl Paranya,,(1:48.31),27.06.75,USA
28,,,Rich Kenah,,(1:48.48),04.08.70,USA
29,,,David Krummenacker,,(1:47.81),24.05.75,USA
30,7.0,7:14.78,Reebook Encalve,,2,Boston,06.02.2000
31,,,Elliot Gaskins,,(1:50.66),03.01.74,USA
32,,,Kevin Murphy,,(1:49.19),30.01.75,USA
33,,,Mike Schroer,,(1:48.23),29.04.74,USA
34,,,Bryan Woodward,,(1:46.70),03.08.74,USA
