,0,1,2,3,4,5,6,7,8,9
0,1,14.7,0.5,Inessa,Kravets,UKR,05.10.66,1,Nice,21.07.1993
1,2,14.61,0.2,Inessa,Kravets,UKR,05.10.66,1,Lausanne,07.07.1993
