,0,1,2,3,4,5,6,7,8,9,10
0,1,19.89,,Daniel Ryland,,,USA,06.08.79,1,Jonesboro,06.05.2000
1,2,20.15,2.4,Sidnei Telles,de,Souza,BRA,26.07.66,1,Americana,13.02.1993
2,3,20.2,,Eniak Mpwo,,,COD,23.03.78,2,Jonesboro,06.05.2000
