,0,1,2,3,4,5
0,1.0,37.04,United States,,London,11.08.2012
1,,,Trell Kimmons,(10.2),13.07.85,USA
2,,,Justin Gatlin,(8.9),10.02.82,USA
3,,,Tyson Gay,(9.0),09.08.82,USA
4,,,Ryan Bailey,(8.95),13.04.89,USA
5,2.0,37.1,Jamaica,,Beijing,22.08.2008
6,,,Nesta Carter,(10.41),11.10.85,JAM
7,,,Michael Frater,(9.01),06.10.82,JAM
8,,,Usain Bolt,(8.98),21.08.86,JAM
9,,,Asafa Powell,(8.68),23.11.82,JAM
10,3.0,37.51,Great Britain & N.I.,,Tokyo,06.08.2021
11,,,Chijindu Ujah,,05.03.94,GBR
12,,,Zharnel Hughes,,13.07.95,GBR
13,,,Richard Kilty,,02.09.89,GBR
14,,,Nethaneel Mitchell-Blake,,02.04.94,GBR
15,4.0,37.9,United States,,Uniondale,22.07.1998
16,,,Jon Drummond,,09.09.68,USA
17,,,Tim Harden,,27.01.74,USA
18,,,Dennis Mitchell,,20.02.66,USA
19,,,Maurice Greene,,23.07.74,USA
20,5.0,37.91,Nigeria,,Sevilla,29.08.1999
21,,,Innocent Asonze,,30.12.72,NGR
22,,,Francis Obikwelu,,22.11.78,NGR
23,,,Daniel Effiong,,17.06.72,NGR
24,,,Deji Aliu,,22.11.75,NGR
25,6.0,37.96,United States,,Edmonton,12.08.2001
26,,,Mickey Grimes,(10.61e),10.10.76,USA
27,,,Bernard Williams,(8.85e),19.01.78,USA
28,,,Dennis Mitchell,(9.35e),20.02.66,USA
29,,,Tim Montgomery,(9.11e),28.01.75,USA
30,7.0,38.08,Great Britain & N.I.,,Saint-Denis,31.08.2003
31,,,Christian Malcolm,,03.06.79,GBR
32,,,Darren Campbell,,12.09.73,GBR
33,,,Marlon Devonish,,01.06.76,GBR
34,,,Dwain Chambers,,05.04.78,GBR
35,8.0,38.16,Sprint Capitol TC,,Lawrence,22.04.2006
36,,,Dwight Thomas,,23.09.80,JAM
37,,,Rodney Martin,,22.12.82,USA
38,,,Shawn Crawford,,14.01.78,USA
39,,,Justin Gatlin,,10.02.82,USA
40,9.0,38.19,Great Britain & N.I.,,München,11.08.2002
41,,,Christian Malcolm,,03.06.79,GBR
42,,,Darren Campbell,,12.09.73,GBR
43,,,Marlon Devonish,,01.06.76,GBR
44,,,Dwain Chambers,,05.04.78,GBR
45,10.0,38.24,Great Britain & N.I.,h4,Saint-Denis,30.08.2003
46,,,Christian Malcolm,,03.06.79,GBR
47,,,Dwain Chambers,,05.04.78,GBR
48,,,Marlon Devonish,,01.06.76,GBR
49,,,Mark Lewis-Francis,,04.09.82,GBR
50,11.0,38.26,Great Britain & N.I.,s2,Saint-Denis,30.08.2003
51,,,Christian Malcolm,,03.06.79,GBR
52,,,Darren Campbell,,12.09.73,GBR
53,,,Marlon Devonish,,01.06.76,GBR
54,,,Dwain Chambers,,05.04.78,GBR
55,12.0,38.27,United States,,Santo Domingo,09.08.2003
56,,,Mickey Grimes,,10.10.76,USA
57,,,Jason Smoots,,13.07.80,USA
58,,,Kenny Brokenburr,,29.10.68,USA
59,,,Olan Coleman,,29.07.80,USA
60,13.0,38.31,Jamaica,h2,Beijing,21.08.2008
61,,,Dwight Thomas,,23.09.80,JAM
62,,,Michael Frater,,06.10.82,JAM
63,,,Nesta Carter,,11.10.85,JAM
64,,,Asafa Powell,,23.11.82,JAM
65,14.0,38.33,United States - Blue,r2,Philadelphia,29.04.2006
66,,,Tyson Gay,,09.08.82,USA
67,,,Leonard Scott,,19.01.80,USA
