,0,1,2,3,4,5
0,1.0,37.38,United States,h2,London,10.08.2012
1,,,Jeffery Demps,,08.01.90,USA
2,,,Darvis Patton,,04.12.77,USA
3,,,Trell Kimmons,,13.07.85,USA
4,,,Justin Gatlin,,10.02.82,USA
5,2.0,37.62,United States,,Rio de Janeiro,19.08.2016
6,,,Mike Rodgers,,24.04.85,USA
7,,,Justin Gatlin,,10.02.82,USA
8,,,Tyson Gay,,09.08.82,USA
9,,,Trayvon Bromell,,10.07.95,USA
10,3.0,37.77,United States,,Beijing,29.08.2015
11,,,Trayvon Bromell,,10.07.95,USA
12,,,Justin Gatlin,,10.02.82,USA
13,,,Tyson Gay,,09.08.82,USA
14,,,Mike Rodgers,,24.04.85,USA
15,4.0,37.8,Great Britain & N.I.,,Moskva,18.08.2013
16,,,Adam Gemili,,06.10.93,GBR
17,,,Harry Aikines-Aryeetey,,29.08.88,GBR
18,,,James Ellington,,06.09.85,GBR
19,,,Dwain Chambers,,05.04.78,GBR
20,4.0,37.8,The Netherlands,,Ad-Dawhah,05.10.2019
21,,,Joris van Gool,,04.04.98,NED
22,,,Taymir Burnet,,01.10.92,NED
23,,,Hensley Paulina,,26.06.93,NED
24,,,Churandy Martina,,03.07.84,NED
25,6.0,37.93,Great Britain & N.I.,h1,London,10.08.2012
26,,,Christian Malcolm,,03.06.79,GBR
27,,,Dwain Chambers,,05.04.78,GBR
28,,,Daniel Talbot,,01.05.91,GBR
29,,,Adam Gemili,,06.10.93,GBR
30,7.0,37.97,United States,h2,Berlin,21.08.2009
31,,,Terrence Trammell,,23.11.78,USA
32,,,Mike Rodgers,,24.04.85,USA
33,,,Shawn Crawford,,14.01.78,USA
34,,,Darvis Patton,,04.12.77,USA
35,8.0,38.06,Canada,,Toronto,25.07.2015
36,,,Gavin Smellie,,26.06.86,CAN
37,,,Andre De Grasse,,10.11.94,CAN
38,,,Brendon Rodney,,09.04.92,CAN
39,,,Aaron Brown,,27.05.92,CAN
40,9.0,38.09,Trinidad & Tobago,,Rio de Janeiro,19.08.2016
41,,,Keston Bledman,,08.03.88,TTO
42,,,Rondel Sorrillo,,24.01.86,TTO
43,,,Emmanuel Callender,,10.05.84,TTO
44,,,Richard Thompson,,07.06.85,TTO
45,10.0,38.29,France,rA,Bydgoszcz,10.08.2019
46,,,Mouhamadou Fall,,25.02.92,FRA
47,,,Jimmy Vicaut,,27.02.92,FRA
48,,,Méba-Mickaël Zézé,,19.05.94,FRA
49,,,Christophe Lemaitre,,11.06.90,FRA
50,11.0,38.3,Germany,,Annecy,21.06.2008
51,,,Tobias Unger,,10.07.79,GER
52,,,Till Helmke,,06.05.84,GER
53,,,Alexander Kosenkow,,14.03.77,GER
54,,,Martin Keller,,26.09.86,GER
55,12.0,38.34,France,,Eugene,23.07.2022
56,,,Méba-Mickaël Zézé,(10.52),19.05.94,FRA
57,,,Pablo Mateo,(9.47),01.02.01,FRA
58,,,Ryan Zézé,(9.37),29.01.98,FRA
59,,,Jimmy Vicaut,(8.98),27.02.92,FRA
60,13.0,38.52,USOC South,,Houston,02.08.1986
61,,,Floyd Heard,,24.03.66,USA
62,,,Wallace Spearmon,,03.09.62,USA
63,,,Kirk Baptiste,,20.06.63,USA
64,,,Carl Lewis,,01.07.61,USA
65,13.0,38.52,France,s2,Stuttgart,21.08.1993
66,,,Pascal Théophile,,22.02.70,FRA
67,,,Daniel Sangouma,,07.02.65,FRA
68,,,Jean-Charles Trouabal,,20.05.65,FRA
69,,,Eric Perrot,,26.08.69,FRA
70,15.0,38.55,Turkey,h1,Ad-Dawhah,04.10.2019
71,,,Kayhan Özer,,11.06.98,TUR
72,,,Jak Ali Harvey,,04.05.89,TUR
73,,,Emre Zafer Barnes,,07.11.88,TUR
74,,,Ramil Guliyev,,29.05.90,TUR
75,16.0,38.57,United States,,Zürich,07.08.1991
76,,,Mark Witherspoon,,03.09.63,USA
77,,,Daron Council,,26.12.64,USA
78,,,Floyd Heard,,24.03.66,USA
79,,,Thomas Jefferson,,08.06.62,USA
80,17.0,38.59,Japan,h3,Yokohama,11.05.2019
81,,,Shuhei Tada,,24.06.96,JPN
82,,,Ryota Yamagata,,10.06.92,JPN
83,,,Yuki Koike,,13.05.95,JPN
84,,,Yoshihide Kiryu,,15.12.95,JPN
85,18.0,38.62,Nigeria,h2,Ad-Dawhah,04.10.2019
86,,,Enoch Oladuwa Adegoke,,08.03.00,NGR
87,,,Usheoritse Itsekiri,,31.01.98,NGR
88,,,Ogho-Oghene Egwero,,26.11.88,NGR
89,,,Seye Ogunlewe,,30.08.91,NGR
90,19.0,38.64,Poland,h2,Berlin,12.08.2018
91,,,Federico Cattaneo,,14.07.93,ITA
92,,,Eseosa Desalu,,19.02.94,ITA
93,,,Davide Manenti,,16.04.89,ITA
94,,,Filippo Tortu,,15.06.98,ITA
95,20.0,38.66,Greece,h3,Sevilla,28.08.1999
96,,,Yeóryios Theorídis,,12.12.72,GRE
97,,,Alexiós Alexópoulos,,21.05.71,GRE
98,,,Geóryios Panayiotópoul,,12.08.69,GRE
99,,,Hristóforos Hoídis,,10.09.78,GRE
100,21.0,38.68,Italy,h2,Helsinki,12.08.2005
101,,,Luca Verdecchia,,24.05.78,ITA
102,,,Simone Collio,,27.12.79,ITA
103,,,Massimiliano Donati,,16.06.79,ITA
104,,,Andrew Howe,,12.05.85,ITA
105,22.0,38.71,Great Britain & N.I.,h2,Beijing,21.08.2008
106,,,Simeon Williamson,,16.01.86,GBR
107,,,Tyrone Edgar,,29.03.82,GBR
108,,,Marlon Devonish,,01.06.76,GBR
109,,,Craig Pickering,,16.10.86,GBR
110,23.0,38.72,Brazil,,Chorzów,02.05.2021
111,,,Rodrigo do Nascimento,(10.67),26.09.94,BRA
112,,,Felipe Bardi,(9.30),08.10.98,BRA
113,,,Derick de Souza,(9.54),13.04.98,BRA
114,,,Paulo André de Oliveir,(9.21),20.08.98,BRA
115,24.0,38.73,Texas A&M University,,Fayetteville,12.06.2009
116,,,Tran Howell,,27.03.88,USA
117,,,Gerald Phiri,,06.10.88,ZAM
118,,,Chris Dykes,,15.08.87,USA
119,,,Justin Oliver,,07.11.87,USA
120,24.0,38.73,Great Britain & N.I. -,,London,25.07.2015
121,,,Sean Safo-Antwi,,31.10.90,GBR
122,,,Andrew Robertson,,17.12.90,GBR
123,,,Daniel Talbot,,01.05.91,GBR
124,,,Ojie Edoburun,,02.06.96,GBR
125,26.0,38.77,Australia,,Gold Coast,12.04.2003
126,,,Patrick Johnson,,26.09.72,AUS
127,,,Matt Shirvington,,25.10.78,AUS
128,,,Paul Di Bella,,12.02.77,AUS
129,,,Adam Basil,,14.04.75,AUS
130,27.0,38.78,Canada,h1,Sevilla,28.08.1999
