Jahr,Note,Bundesland,Anzahl,Anteil in Prozent
2006,1.0,HH,62,1.0388739946380696
2006,1.1,HH,36,0.6032171581769437
2006,1.2,HH,59,0.9886058981233244
2006,1.3,HH,63,1.0556300268096515
2006,1.4,HH,101,1.6923592493297588
2006,1.5,HH,117,1.960455764075067
2006,1.6,HH,139,2.329088471849866
2006,1.7,HH,134,2.245308310991957
2006,1.8,HH,171,2.8652815013404824
2006,1.9,HH,190,3.183646112600536
2006,2.0,HH,218,3.6528150134048256
2006,2.1,HH,221,3.703083109919571
2006,2.2,HH,287,4.808981233243967
2006,2.3,HH,311,5.211126005361931
2006,2.4,HH,269,4.507372654155496
2006,2.5,HH,311,5.211126005361931
2006,2.6,HH,328,5.49597855227882
2006,2.7,HH,339,5.68029490616622
2006,2.8,HH,370,6.1997319034852545
2006,2.9,HH,339,5.68029490616622
2006,3.0,HH,341,5.713806970509383
2006,3.1,HH,363,6.0824396782841825
2006,3.2,HH,337,5.646782841823057
2006,3.3,HH,313,5.244638069705094
2006,3.4,HH,234,3.920911528150134
2006,3.5,HH,156,2.613941018766756
2006,3.6,HH,113,1.89343163538874
2006,3.7,HH,40,0.6702412868632708
2006,3.8,HH,5,0.08378016085790885
2006,3.9,HH,1,0.01675603217158177
2006,4.0,HH,0,0.0
2006,1.0,MV,79,1.1933534743202416
2006,1.1,MV,45,0.6797583081570997
2006,1.2,MV,90,1.3595166163141994
2006,1.3,MV,124,1.8731117824773413
2006,1.4,MV,129,1.948640483383686
2006,1.5,MV,149,2.2507552870090635
2006,1.6,MV,230,3.474320241691843
2006,1.7,MV,231,3.489425981873112
2006,1.8,MV,253,3.821752265861027
2006,1.9,MV,266,4.018126888217522
2006,2.0,MV,301,4.546827794561934
2006,2.1,MV,324,4.8942598187311175
2006,2.2,MV,358,5.40785498489426
2006,2.3,MV,406,6.132930513595166
2006,2.4,MV,371,5.604229607250756
2006,2.5,MV,403,6.087613293051359
2006,2.6,MV,362,5.468277945619335
2006,2.7,MV,415,6.268882175226586
2006,2.8,MV,363,5.483383685800605
2006,2.9,MV,339,5.120845921450151
2006,3.0,MV,333,5.030211480362538
2006,3.1,MV,321,4.848942598187311
2006,3.2,MV,269,4.063444108761329
2006,3.3,MV,197,2.97583081570997
2006,3.4,MV,136,2.054380664652568
2006,3.5,MV,82,1.2386706948640482
2006,3.6,MV,34,0.513595166163142
2006,3.7,MV,8,0.12084592145015106
2006,3.8,MV,1,0.015105740181268883
2006,3.9,MV,1,0.015105740181268883
2006,4.0,MV,0,0.0
2006,1.0,NI,117,0.48857894517058503
2006,1.1,NI,89,0.37165406940326556
2006,1.2,NI,126,0.5261619409529378
2006,1.3,NI,181,0.7558358040673153
2006,1.4,NI,209,0.8727606798346348
2006,1.5,NI,333,1.3905708439470497
2006,1.6,NI,373,1.5576063807575062
2006,1.7,NI,484,2.0211299954065227
2006,1.8,NI,562,2.3468492921869126
2006,1.9,NI,614,2.563995490040506
2006,2.0,NI,730,3.0483985467908297
2006,2.1,NI,773,3.22796174886207
2006,2.2,NI,910,3.8000584624378835
2006,2.3,NI,1001,4.180064308681672
2006,2.4,NI,1083,4.5224871591431075
2006,2.5,NI,1196,4.994362550632647
2006,2.6,NI,1291,5.391071950557481
2006,2.7,NI,1333,5.5664592642084605
2006,2.8,NI,1437,6.000751659915647
2006,2.9,NI,1488,6.213721969348979
2006,3.0,NI,1496,6.2471290767110705
2006,3.1,NI,1594,6.656366141896688
2006,3.2,NI,1534,6.405812836681004
2006,3.3,NI,1451,6.059214097799307
2006,3.4,NI,1210,5.052824988516307
2006,3.5,NI,1140,4.7605127990980085
2006,3.6,NI,704,2.939825447864033
2006,3.7,NI,381,1.5910134881195974
2006,3.8,NI,98,0.40923706518561825
2006,3.9,NI,9,0.0375829957823527
2006,4.0,NI,0,0.0
2006,1.0,NW,421,0.7427533035761543
2006,1.1,NW,321,0.5663273407314621
2006,1.2,NW,431,0.7603958998606235
2006,1.3,NW,671,1.1838182106878847
2006,1.4,NW,735,1.2967308269084878
2006,1.5,NW,905,1.5966549637444647
2006,1.6,NW,1129,1.9918491205165751
2006,1.7,NW,1281,2.2600165840405073
2006,1.8,NW,1507,2.658739260069512
2006,1.9,NW,1704,3.0062984068735554
2006,2.0,NW,1900,3.352093294049152
2006,2.1,NW,1992,3.514405179866269
2006,2.2,NW,2176,3.8390289515005027
2006,2.3,NW,2370,4.181295319419205
2006,2.4,NW,2419,4.267744041213105
2006,2.5,NW,2802,4.943455478908276
2006,2.6,NW,2841,5.012261604417706
2006,2.7,NW,3107,5.4815546655845875
2006,2.8,NW,3298,5.8185282546179495
2006,2.9,NW,3246,5.726786753938709
2006,3.0,NW,3297,5.816763994989502
2006,3.1,NW,3331,5.876748822356698
2006,3.2,NW,3295,5.813235475732609
2006,3.3,NW,3237,5.710908417282687
2006,3.4,NW,2735,4.825250083802333
2006,3.5,NW,2520,4.445934263686244
2006,3.6,NW,1752,3.0909828690390078
2006,3.7,NW,928,1.6372329351987438
2006,3.8,NW,293,0.5169280711349482
2006,3.9,NW,31,0.05469204848185459
2006,4.0,NW,6,0.010585557770681533
2006,1.0,RP,78,0.5977011494252874
2006,1.1,RP,63,0.4827586206896552
2006,1.2,RP,89,0.6819923371647509
2006,1.3,RP,133,1.0191570881226053
2006,1.4,RP,156,1.1954022988505748
2006,1.5,RP,207,1.5862068965517242
2006,1.6,RP,248,1.9003831417624522
2006,1.7,RP,321,2.4597701149425286
2006,1.8,RP,344,2.636015325670498
2006,1.9,RP,373,2.8582375478927204
2006,2.0,RP,498,3.8160919540229883
2006,2.1,RP,456,3.4942528735632186
2006,2.2,RP,560,4.291187739463601
2006,2.3,RP,582,4.459770114942529
2006,2.4,RP,591,4.528735632183908
2006,2.5,RP,721,5.524904214559387
2006,2.6,RP,669,5.126436781609195
2006,2.7,RP,746,5.716475095785441
2006,2.8,RP,779,5.969348659003831
2006,2.9,RP,830,6.360153256704981
2006,3.0,RP,785,6.015325670498084
2006,3.1,RP,801,6.137931034482759
2006,3.2,RP,786,6.022988505747127
2006,3.3,RP,687,5.264367816091954
2006,3.4,RP,580,4.444444444444445
2006,3.5,RP,492,3.7701149425287355
2006,3.6,RP,294,2.2528735632183907
2006,3.7,RP,131,1.003831417624521
2006,3.8,RP,37,0.2835249042145594
2006,3.9,RP,4,0.03065134099616858
2006,4.0,RP,9,0.06896551724137931
2006,1.0,SH,36,0.414651002073255
2006,1.1,SH,24,0.27643400138217
2006,1.2,SH,52,0.598940336328035
2006,1.3,SH,59,0.6795669200645013
2006,1.4,SH,106,1.2209168394379175
2006,1.5,SH,134,1.5434231743837825
2006,1.6,SH,169,1.9465560930661139
2006,1.7,SH,208,2.39576134531214
2006,1.8,SH,208,2.39576134531214
2006,1.9,SH,257,2.9601474314674037
2006,2.0,SH,305,3.5130154342317437
2006,2.1,SH,323,3.7203409352683714
2006,2.2,SH,370,4.261690854641787
2006,2.3,SH,410,4.722414190278737
2006,2.4,SH,436,5.0218843584427555
2006,2.5,SH,485,5.586270444598019
2006,2.6,SH,516,5.9433310297166555
2006,2.7,SH,556,6.4040543653536055
2006,2.8,SH,532,6.1276203639714355
2006,2.9,SH,539,6.208246947707901
2006,3.0,SH,522,6.012439530062197
2006,3.1,SH,569,6.553789449435614
2006,3.2,SH,494,5.689933195116333
2006,3.3,SH,463,5.332872609997696
2006,3.4,SH,359,4.134991937341626
2006,3.5,SH,293,3.3747984335406587
2006,3.6,SH,164,1.888965676111495
2006,3.7,SH,75,0.8638562543192813
2006,3.8,SH,16,0.18428933425478
2006,3.9,SH,2,0.0230361667818475
2006,4.0,SH,0,0.0
2006,1.0,SL,43,1.4630826811840763
2006,1.1,SL,39,1.3269819666553249
2006,1.2,SL,26,0.8846546444368832
2006,1.3,SL,34,1.1568560734943858
2006,1.4,SL,34,1.1568560734943858
2006,1.5,SL,57,1.9394351820347058
2006,1.6,SL,72,2.4498128615175228
2006,1.7,SL,73,2.4838380401497107
2006,1.8,SL,81,2.7560394692072134
2006,1.9,SL,116,3.946920721333787
2006,2.0,SL,115,3.912895542701599
2006,2.1,SL,127,4.321197686287853
2006,2.2,SL,146,4.967676080299421
2006,2.3,SL,158,5.375978223885675
2006,2.4,SL,171,5.818305546104117
2006,2.5,SL,173,5.886355903368493
2006,2.6,SL,161,5.478053759782239
2006,2.7,SL,177,6.022456617897244
2006,2.8,SL,181,6.158557332425995
2006,2.9,SL,131,4.4572984008166046
2006,3.0,SL,167,5.6822048315753655
2006,3.1,SL,158,5.375978223885675
2006,3.2,SL,153,5.205852330724737
2006,3.3,SL,145,4.933650901667233
2006,3.4,SL,79,2.6879891119428376
2006,3.5,SL,62,2.1095610751956446
2006,3.6,SL,42,1.4290575025518883
2006,3.7,SL,15,0.5103776794828173
2006,3.8,SL,2,0.06805035726437564
2006,3.9,SL,1,0.03402517863218782
2006,4.0,SL,0,0.0
2006,1.0,SN,132,0.8329652300119896
2006,1.1,SN,115,0.7256894049346879
2006,1.2,SN,159,1.0033444816053512
2006,1.3,SN,215,1.3567236700952863
2006,1.4,SN,276,1.741654571843251
2006,1.5,SN,372,2.3474474663974254
2006,1.6,SN,392,2.473654319429545
2006,1.7,SN,502,3.167792011106203
2006,1.8,SN,621,3.918722786647315
2006,1.9,SN,653,4.120653751498707
2006,2.0,SN,742,4.682274247491639
2006,2.1,SN,737,4.6507225342336085
2006,2.2,SN,877,5.534170505458446
2006,2.3,SN,878,5.540480848110052
2006,2.4,SN,889,5.609894617277718
2006,2.5,SN,951,6.001135861677289
2006,2.6,SN,913,5.761342840916262
2006,2.7,SN,968,6.10841168675459
2006,2.8,SN,966,6.095791001451379
2006,2.9,SN,924,5.830756610083927
2006,3.0,SN,851,5.370101596516691
2006,3.1,SN,875,5.521549820155235
2006,3.2,SN,707,4.461412254685429
2006,3.3,SN,540,3.4075850318672303
2006,3.4,SN,320,2.0193096485139144
2006,3.5,SN,197,1.2431375023663784
2006,3.6,SN,60,0.37862055909635894
2006,3.7,SN,12,0.07572411181927179
2006,3.8,SN,2,0.012620685303211964
2006,3.9,SN,0,0.0
2006,4.0,SN,1,0.006310342651605982
2006,1.0,ST,98,1.1300738007380073
2006,1.1,ST,76,0.8763837638376384
2006,1.2,ST,138,1.5913284132841328
2006,1.3,ST,155,1.7873616236162362
2006,1.4,ST,194,2.2370848708487086
2006,1.5,ST,205,2.363929889298893
2006,1.6,ST,242,2.790590405904059
2006,1.7,ST,275,3.1711254612546127
2006,1.8,ST,331,3.8168819188191883
2006,1.9,ST,356,4.105166051660516
2006,2.0,ST,385,4.439575645756458
2006,2.1,ST,432,4.981549815498155
2006,2.2,ST,473,5.4543357933579335
2006,2.3,ST,457,5.269833948339484
2006,2.4,ST,486,5.604243542435424
2006,2.5,ST,473,5.4543357933579335
2006,2.6,ST,524,6.0424354243542435
2006,2.7,ST,514,5.927121771217712
2006,2.8,ST,481,5.546586715867159
2006,2.9,ST,450,5.189114391143911
2006,3.0,ST,459,5.292896678966789
2006,3.1,ST,438,5.050738007380073
2006,3.2,ST,345,3.978321033210332
2006,3.3,ST,310,3.5747232472324724
2006,3.4,ST,206,2.375461254612546
2006,3.5,ST,97,1.1185424354243543
2006,3.6,ST,51,0.5880996309963099
2006,3.7,ST,15,0.17297047970479704
2006,3.8,ST,2,0.023062730627306273
2006,3.9,ST,4,0.046125461254612546
2006,4.0,ST,0,0.0
2006,1.0,TH,152,1.5210647453217252
2006,1.1,TH,103,1.0307215050535374
2006,1.2,TH,174,1.7412188531972381
2006,1.3,TH,206,2.061443010107075
2006,1.4,TH,240,2.4016811768237765
2006,1.5,TH,331,3.3123186230361252
2006,1.6,TH,375,3.752626838787151
2006,1.7,TH,393,3.9327529270489343
2006,1.8,TH,430,4.303012108475933
2006,1.9,TH,481,4.813369358550986
2006,2.0,TH,513,5.133593515460823
2006,2.1,TH,545,5.4538176723706595
2006,2.2,TH,535,5.353747623336336
2006,2.3,TH,561,5.613929750825578
2006,2.4,TH,543,5.433803662563794
2006,2.5,TH,547,5.473831682177524
2006,2.6,TH,539,5.393775642950065
2006,2.7,TH,557,5.573901731211849
2006,2.8,TH,539,5.393775642950065
2006,2.9,TH,458,4.58320824577204
2006,3.0,TH,433,4.3330331231862305
2006,3.1,TH,388,3.8827179025317724
2006,3.2,TH,324,3.2422695887120985
2006,3.3,TH,258,2.5818072650855597
2006,3.4,TH,175,1.7512258581006706
2006,3.5,TH,109,1.090763534474132
2006,3.6,TH,52,0.5203642549784849
2006,3.7,TH,30,0.30021014710297206
2006,3.8,TH,2,0.020014009806864807
2006,3.9,TH,0,0.0
2006,4.0,TH,0,0.0
2007,1.0,BB,101,0.8434237995824635
2007,1.1,BB,93,0.7766179540709812
2007,1.2,BB,127,1.0605427974947808
2007,1.3,BB,188,1.569937369519833
2007,1.4,BB,246,2.0542797494780793
2007,1.5,BB,269,2.2463465553235906
2007,1.6,BB,324,2.7056367432150314
2007,1.7,BB,384,3.2066805845511483
2007,1.8,BB,450,3.757828810020877
2007,1.9,BB,444,3.7077244258872653
2007,2.0,BB,499,4.167014613778706
2007,2.1,BB,518,4.325678496868476
2007,2.2,BB,577,4.818371607515657
2007,2.3,BB,644,5.377870563674321
2007,2.4,BB,655,5.469728601252609
2007,2.5,BB,715,5.970772442588727
2007,2.6,BB,713,5.954070981210856
2007,2.7,BB,675,5.6367432150313155
2007,2.8,BB,706,5.895615866388309
2007,2.9,BB,652,5.444676409185804
2007,3.0,BB,663,5.536534446764092
2007,3.1,BB,630,5.260960334029227
2007,3.2,BB,552,4.609603340292275
2007,3.3,BB,487,4.066805845511483
2007,3.4,BB,357,2.9812108559498958
2007,3.5,BB,191,1.5949895615866387
2007,3.6,BB,85,0.7098121085594989
2007,3.7,BB,24,0.20041753653444677
2007,3.8,BB,5,0.04175365344467641
2007,3.9,BB,1,0.008350730688935281
2007,4.0,BB,0,0.0
2007,1.0,BE,85,0.6296296296296297
2007,1.1,BE,77,0.5703703703703704
2007,1.2,BE,94,0.6962962962962963
2007,1.3,BE,136,1.0074074074074073
2007,1.4,BE,179,1.325925925925926
2007,1.5,BE,227,1.6814814814814816
2007,1.6,BE,301,2.22962962962963
2007,1.7,BE,318,2.3555555555555556
2007,1.8,BE,389,2.8814814814814813
2007,1.9,BE,434,3.214814814814815
2007,2.0,BE,504,3.7333333333333334
2007,2.1,BE,544,4.029629629629629
2007,2.2,BE,659,4.881481481481481
2007,2.3,BE,666,4.933333333333334
2007,2.4,BE,762,5.644444444444445
2007,2.5,BE,751,5.562962962962963
2007,2.6,BE,847,6.274074074074074
2007,2.7,BE,826,6.118518518518519
2007,2.8,BE,867,6.4222222222222225
2007,2.9,BE,800,5.925925925925926
2007,3.0,BE,788,5.837037037037037
2007,3.1,BE,770,5.703703703703703
2007,3.2,BE,744,5.511111111111111
2007,3.3,BE,619,4.5851851851851855
2007,3.4,BE,482,3.5703703703703704
2007,3.5,BE,347,2.5703703703703704
2007,3.6,BE,210,1.5555555555555556
2007,3.7,BE,74,0.5481481481481482
2007,3.8,BE,0,0.0
2007,3.9,BE,0,0.0
2007,4.0,BE,0,0.0
2007,1.0,BW,731,1.7660844144862409
2007,1.1,BW,411,0.992969486120171
2007,1.2,BW,548,1.3239593148268947
2007,1.3,BW,712,1.7201807156145055
2007,1.4,BW,888,2.145393926215844
2007,1.5,BW,1069,2.5826870575729024
2007,1.6,BW,1328,3.20842695271919
2007,1.7,BW,1470,3.5514967021816335
2007,1.8,BW,1584,3.826918895412046
2007,1.9,BW,1657,4.003285738445556
2007,2.0,BW,1972,4.764320746055906
2007,2.1,BW,1948,4.70633712642845
2007,2.2,BW,2161,5.220941750622116
2007,2.3,BW,2199,5.312749148365587
2007,2.4,BW,2255,5.448044260829649
2007,2.5,BW,2446,5.909497233698147
2007,2.6,BW,2319,5.602667246502863
2007,2.7,BW,2399,5.79594597859438
2007,2.8,BW,2322,5.609915198956295
2007,2.9,BW,2010,4.856128143799377
2007,3.0,BW,1989,4.805392476625354
2007,3.1,BW,1752,4.232804232804233
2007,3.2,BW,1625,3.925974245608949
2007,3.3,BW,1360,3.285738445555797
2007,3.4,BW,998,2.4111521828416804
2007,3.5,BW,748,1.8071561450556883
2007,3.6,BW,336,0.8117706747843734
2007,3.7,BW,133,0.3213258921021478
2007,3.8,BW,18,0.04348771472059143
2007,3.9,BW,3,0.007247952453431905
2007,4.0,BW,0,0.0
2007,1.0,BY,297,0.9031473316101566
2007,1.1,BY,276,0.8392884293750951
2007,1.2,BY,369,1.1220921392732248
2007,1.3,BY,496,1.508286452790026
2007,1.4,BY,590,1.7941310627945872
2007,1.5,BY,802,2.438801885358066
2007,1.6,BY,947,2.879732400790634
2007,1.7,BY,1171,3.560894024631291
2007,1.8,BY,1294,3.934924737722366
2007,1.9,BY,1387,4.2177284476204955
2007,2.0,BY,1508,4.585677360498708
2007,2.1,BY,1732,5.266838984339365
2007,2.2,BY,1817,5.525315493386042
2007,2.3,BY,1845,5.6104606963661245
2007,2.4,BY,1816,5.522274593279611
2007,2.5,BY,2049,6.230804318078151
2007,2.6,BY,1945,5.914550707009274
2007,2.7,BY,1916,5.8263646039227615
2007,2.8,BY,1866,5.674319598601186
2007,2.9,BY,1725,5.245552683594344
2007,3.0,BY,1474,4.482286756880036
2007,3.1,BY,1395,4.242055648471948
2007,3.2,BY,1248,3.7950433328265167
2007,3.3,BY,1013,3.0804318078151134
2007,3.4,BY,763,2.3202067812072373
2007,3.5,BY,587,1.7850083624752926
2007,3.6,BY,318,0.9670062338452182
2007,3.7,BY,162,0.49262581724190363
2007,3.8,BY,50,0.1520450053215752
2007,3.9,BY,17,0.05169530180933556
2007,4.0,BY,10,0.030409001064315037
2007,1.0,HB,44,1.7981201471189212
2007,1.1,HB,21,0.8581937065794851
2007,1.2,HB,40,1.6346546791990193
2007,1.3,HB,44,1.7981201471189212
2007,1.4,HB,54,2.206783816918676
2007,1.5,HB,51,2.0841847159787497
2007,1.6,HB,66,2.6971802206783817
2007,1.7,HB,77,3.146710257458112
2007,1.8,HB,84,3.4327748263179405
2007,1.9,HB,64,2.6154474867184305
2007,2.0,HB,123,5.026563138536984
2007,2.1,HB,110,4.495300367797303
2007,2.2,HB,139,5.680425010216592
2007,2.3,HB,88,3.5962402942378424
2007,2.4,HB,108,4.413567633837352
2007,2.5,HB,136,5.557825909276665
2007,2.6,HB,144,5.88475684511647
2007,2.7,HB,136,5.557825909276665
2007,2.8,HB,141,5.762157744176543
2007,2.9,HB,114,4.658765835717205
2007,3.0,HB,130,5.312627707396812
2007,3.1,HB,127,5.190028606456886
2007,3.2,HB,115,4.69963220269718
2007,3.3,HB,82,3.3510420923579893
2007,3.4,HB,81,3.3101757253780137
2007,3.5,HB,66,2.6971802206783817
2007,3.6,HB,39,1.5937883122190437
2007,3.7,HB,19,0.7764609726195342
2007,3.8,HB,3,0.12259910093992644
2007,3.9,HB,0,0.0
2007,4.0,HB,1,0.04086636697997548
2007,1.0,HE,248,1.2110557671647622
2007,1.1,HE,166,0.810626037698994
2007,1.2,HE,241,1.17687274147866
2007,1.3,HE,276,1.3477878699091708
2007,1.4,HE,364,1.7775173356773122
2007,1.5,HE,496,2.4221115343295243
2007,1.6,HE,563,2.749291923039359
2007,1.7,HE,626,3.0569391542142785
2007,1.8,HE,675,3.296220334016994
2007,1.9,HE,740,3.613634143959371
2007,2.0,HE,867,4.233811895692939
2007,2.1,HE,984,4.805156753589218
2007,2.2,HE,964,4.70749096591464
2007,2.3,HE,1044,5.0981541166129505
2007,2.4,HE,1053,5.14210372106651
2007,2.5,HE,1202,5.869713839242113
2007,2.6,HE,1223,5.97226291630042
2007,2.7,HE,1243,6.069928703974997
2007,2.8,HE,1235,6.030862388905167
2007,2.9,HE,1104,5.391151479636683
2007,3.0,HE,1220,5.957613048149233
2007,3.1,HE,999,4.878406094345151
2007,3.2,HE,897,4.380310577204805
2007,3.3,HE,796,3.887098349448188
2007,3.4,HE,550,2.685809161050884
2007,3.5,HE,370,1.8068170719796854
2007,3.6,HE,241,1.17687274147866
2007,3.7,HE,80,0.39066315069831037
